"Hijos","Sexo.Jefe","Sexo.Conyuge","Tipo.Union","Edad.Jefe","Edad.Conyuge","Region","Estrato.vivienda","Trabajo.Jefe","Trabajo.conyuge","Ingresos.totales","Uso.tecnologia.Jefe","Uso.tecnologia.conyuge","Edu.Jefe","Edu.Conyuge"
2,2,1,2,49,62,1,1,1,1,294000,0,0,1,0
0,1,NA,6,57,NA,1,3,1,NA,800000,2,NA,1,NA
1,2,NA,2,27,NA,1,3,1,NA,1902000,2,NA,3,NA
0,1,NA,5,37,NA,1,3,1,NA,600000,0,NA,1,NA
0,2,NA,2,49,NA,1,3,1,NA,400000,2,NA,3,NA
1,1,NA,4,22,NA,1,3,2,NA,120000,0,NA,1,NA
0,1,NA,5,35,NA,1,3,1,NA,700000,2,NA,3,NA
2,1,2,2,25,27,1,0,1,1,800000,0,0,1,1
4,1,2,2,31,27,1,0,1,4,242082,2,2,1,1
0,2,1,1,68,65,1,0,1,1,650000,0,0,0,1
1,2,1,2,20,48,1,0,4,1,1042666,2,2,1,1
2,1,NA,3,48,NA,1,1,1,NA,600000,0,NA,1,NA
0,1,NA,4,24,NA,1,0,1,NA,400000,0,NA,1,NA
3,1,2,2,40,35,1,0,1,1,408000,0,0,1,1
2,2,NA,4,52,NA,1,1,1,NA,180000,2,NA,0,NA
1,2,NA,4,56,NA,1,2,1,NA,180000,0,NA,1,NA
1,1,2,1,33,31,1,1,1,1,790000,2,2,1,1
1,1,2,1,26,21,1,1,1,1,1100000,2,2,1,1
2,2,NA,4,52,NA,1,1,1,NA,840000,0,NA,1,NA
0,2,NA,5,25,NA,1,2,1,NA,750000,2,NA,3,NA
0,2,NA,5,23,NA,1,2,1,NA,600000,0,NA,1,NA
0,2,1,2,52,59,1,3,4,6,874999,0,0,1,1
0,2,NA,3,76,NA,1,3,4,NA,316666,0,NA,1,NA
0,1,NA,4,39,NA,1,3,1,NA,1041666,2,NA,3,NA
4,2,NA,2,47,NA,1,3,4,NA,23333,0,NA,1,NA
1,1,NA,4,62,NA,1,3,1,NA,3500000,2,NA,3,NA
0,1,2,6,32,43,1,1,2,4,0,2,0,1,1
2,1,2,2,29,25,1,1,1,4,217500,2,1,1,1
0,1,2,2,62,61,1,1,2,4,85000,0,2,1,1
2,1,2,2,25,26,1,1,1,4,600000,1,2,1,2
0,1,2,6,65,55,1,1,1,4,224166,0,1,1,1
0,1,2,6,77,73,1,1,4,4,75000,0,0,1,1
0,1,2,6,53,57,1,1,1,1,1800000,0,1,0,1
0,2,NA,3,73,NA,1,1,4,NA,100000,0,NA,1,NA
1,2,NA,4,37,NA,1,1,1,NA,456666,0,NA,1,NA
0,2,NA,4,50,NA,1,1,5,NA,16666,0,NA,0,NA
1,1,2,6,75,69,1,1,5,4,25000,0,0,1,0
3,1,2,6,46,41,1,1,1,4,828116,0,0,1,3
0,1,2,6,63,62,1,1,1,4,500000,0,0,1,1
0,1,2,6,60,60,5,3,1,4,2375000,2,2,3,3
0,2,1,2,57,59,5,3,4,1,3250000,2,2,1,3
0,1,2,2,85,72,3,2,5,4,0,0,0,0,0
1,2,NA,5,53,NA,3,2,4,NA,0,2,NA,1,NA
3,1,2,6,39,40,3,2,1,4,2000000,2,2,1,1
1,1,2,2,32,33,3,1,1,4,400000,2,2,1,1
1,1,2,2,20,35,3,1,1,4,780000,0,0,1,1
0,1,2,2,29,27,3,1,1,4,800000,0,2,1,1
0,1,2,1,39,19,3,1,1,4,1200000,2,2,1,3
2,1,2,6,34,35,3,1,1,4,1329166,2,2,3,3
1,2,NA,1,46,NA,3,1,1,NA,250000,0,NA,1,NA
1,2,NA,5,57,NA,3,1,1,NA,500000,0,NA,1,NA
