"Hijos","Edad.Jefe","Edad.Conyuge","Ingresos.totales","Sexo.Jefe","Sexo.Conyuge","Tipo.Union","Region","Trabajo.Jefe","Trabajo.conyuge","Edu.Jefe","Edu.Conyuge","Estrato.vivienda","Uso.tecnologia.Jefe","Uso.tecnologia.conyuge"
"T",70,55,1100000,"1","2","6","3","1","4","1","1","1","0","0"
"T",41,52,500000,"2","1","2","3","4","1","1","0","1","2","0"
"T",23,29,800000,"1","2","6","3","1","4","1","1","1","2","2"
"T",54,52,1500000,"1","2","2","3","1","4","1","1","2","2","0"
"T",75,68,2250000,"1","2","6","3","4","4","1","3","2","0","2"
"N",61,54,166666,"1","2","6","3","4","4","1","1","2","2","2"
"T",83,75,125000,"1","2","6","3","5","5","1","1","2","0","0"
"T",35,44,1500000,"2","1","2","3","1","1","1","1","2","2","2"
"T",65,60,20833,"1","2","6","3","5","4","1","1","1","0","0"
"T",29,29,1050000,"2","1","6","3","4","1","3","3","3","2","2"
"T",38,42,1700000,"2","1","2","3","4","1","3","1","2","2","2"
"T",29,37,0,"1","2","2","3","2","4","1","1","1","0","0"
"T",27,24,1700000,"1","2","6","3","1","4","1","3","2","2","2"
"T",49,39,800000,"1","2","6","3","1","4","1","1","2","0","2"
"N",59,60,4900000,"1","2","6","3","4","1","1","3","2","2","2"
"T",41,52,1200000,"2","1","6","3","1","1","2","1","2","2","0"
"T",56,51,900000,"1","2","6","3","1","4","1","1","2","0","2"
"N",62,54,828116,"1","2","2","3","1","4","1","1","2","0","2"
"N",89,68,3715190,"1","2","6","3","5","4","1","1","3","0","1"
"N",73,65,606666,"1","2","6","3","4","4","1","1","3","0","2"
"N",66,66,4000000,"1","2","2","3","6","6","3","3","3","2","0"
"T",47,31,5361449,"1","2","6","3","1","1","3","3","3","2","2"
"N",72,64,500000,"1","2","6","3","1","1","1","1","3","0","0"
"N",52,37,6540000,"1","2","6","3","1","1","3","3","3","2","2"
"T",43,35,2300000,"1","2","2","3","1","4","3","3","3","2","2"
"T",48,49,4000000,"1","2","6","2","2","1","3","3","3","2","2"
"N",32,21,620000,"1","2","1","2","2","3","3","3","3","2","2"
"T",38,48,99,"2","1","1","2","4","1","1","1","3","0","0"
"N",66,80,1408333,"2","1","6","2","6","6","1","1","3","0","0"
"N",69,51,750000,"1","2","2","2","4","4","1","1","2","0","0"
"N",61,59,500000,"1","2","2","2","1","4","1","1","2","0","0"
"N",56,49,2400000,"1","2","2","2","1","4","1","1","2","2","2"
"N",60,58,1335953,"1","2","2","2","1","1","3","1","2","0","0"
"T",47,43,4800000,"1","2","6","2","6","1","3","3","2","2","2"
"T",29,26,1200000,"1","2","2","2","1","4","1","1","2","0","0"
"T",43,47,1128116,"1","2","6","2","1","1","3","3","2","2","2"
"T",48,35,2725000,"1","2","6","2","1","4","3","1","2","2","2"
"T",47,37,1865574,"1","2","1","2","1","4","1","1","2","0","1"
"T",41,37,911449,"1","2","2","2","1","3","3","3","3","2","2"
"T",41,47,600000,"2","1","2","2","1","1","1","1","2","0","0"
"T",36,36,140000,"1","2","6","2","2","2","1","1","2","2","2"
"N",59,58,2176666,"2","1","6","2","4","2","1","1","2","2","2"
"N",60,48,1200000,"2","1","1","2","1","1","0","0","2","0","0"
"T",27,24,800000,"1","2","2","2","1","4","1","1","2","0","0"
"T",45,34,2400000,"1","2","1","2","1","1","1","1","2","2","2"
