"Hijos","Edad.Jefe","Ingresos.totales","Sexo.Jefe","Region","Trabajo.Jefe","Edu.Jefe","Uso.tecnologia.Jefe","Estrato.vivienda","Tipo.Union"
"N",59,25000,"2","7","5","1","0","1","3"
"T",43,1000000,"2","7","4","1","2","2","4"
"T",27,10000000,"2","7","1","3","2","3","4"
"N",26,2858333,"1","7","1","1","2","3","5"
"N",71,138333,"1","7","1","1","0","0","4"
"N",60,2833333,"2","7","1","0","2","1","3"
"N",23,1376198,"1","7","1","2","2","1","5"
"T",47,780000,"2","7","1","1","2","1","4"
"T",39,740000,"2","7","1","3","2","3","3"
"T",57,798333,"2","7","4","1","0","3","3"
"T",36,300000,"2","7","1","1","2","1","4"
"T",32,460000,"2","7","1","1","2","1","5"
"T",45,500000,"2","7","1","1","2","1","4"
"N",60,800000,"2","4","1","1","2","3","3"
"T",38,350000,"2","4","2","1","2","3","4"
"N",62,7665000,"2","4","1","3","2","3","4"
"N",18,33333,"2","4","3","3","2","3","5"
"N",70,1450000,"1","4","1","1","0","3","3"
"T",49,2794166,"1","4","1","3","2","2","3"
"T",54,5833333,"2","4","4","1","0","3","4"
"N",55,500000,"1","4","1","3","2","3","4"
"N",76,1274916,"2","4","4","1","0","3","3"
"N",24,828000,"2","4","1","3","2","3","5"
"N",21,1460000,"1","4","1","3","2","3","5"
"T",68,300000,"2","4","4","1","2","1","4"
"T",47,0,"2","4","2","1","0","1","4"
"T",53,0,"2","4","4","1","0","1","5"
"T",45,200000,"2","4","1","1","2","1","5"
"T",61,0,"2","4","4","1","0","1","3"
"T",56,180000,"2","4","4","1","0","1","3"
"N",60,80000,"2","4","1","0","0","1","5"
"T",53,888116,"2","4","1","3","2","1","4"
"T",59,5000,"2","4","2","1","0","1","5"
"T",38,500000,"2","4","1","1","1","1","6"
"T",36,16666,"2","4","4","3","2","1","4"
"T",35,650000,"2","4","1","1","0","1","2"
"T",45,550000,"1","4","1","1","2","1","4"
"T",35,0,"2","4","1","1","2","1","4"
"T",37,240000,"1","4","1","1","0","1","4"
"T",51,150000,"2","4","1","1","0","1","4"
"T",73,4166,"1","4","5","1","0","1","4"
"T",49,400000,"2","4","1","1","2","1","4"
"T",44,150000,"2","4","1","1","0","1","1"
"T",50,0,"2","4","4","1","0","1","2"
"T",55,150000,"2","4","4","1","0","1","3"
"T",65,0,"2","4","4","1","0","1","3"
"T",80,0,"2","4","5","1","0","1","3"
"T",46,0,"2","4","5","1","0","1","5"
"N",48,1055365,"2","3","1","3","2","1","5"
"T",48,350000,"2","3","1","1","2","2","4"
"T",54,1400000,"1","3","1","1","0","2","3"
"T",44,100000,"2","3","2","1","0","2","4"
"N",43,900000,"1","3","1","1","0","2","5"
"N",40,880000,"1","3","1","1","0","2","5"
"N",16,400000,"1","3","1","1","0","2","5"
"N",86,100000,"1","3","6","1","0","2","5"
"N",69,300000,"2","3","6","1","2","2","5"
"N",52,400000,"2","3","1","1","2","2","5"
"N",48,25000,"2","3","5","3","2","2","4"
"T",34,550000,"2","3","1","1","0","2","4"
"T",56,0,"2","3","4","1","2","2","2"
"N",34,2412500,"1","3","1","3","2","2","4"
"T",35,525000,"2","3","1","1","2","1","4"
"N",34,1133333,"1","3","1","1","2","1","5"
"N",65,0,"1","3","6","3","2","4","4"
"N",82,20833,"1","3","4","0","0","2","5"
"N",70,54166,"2","3","4","0","0","1","3"
"N",40,100000,"1","3","1","0","0","1","5"
"T",33,0,"2","3","4","1","2","1","5"
"N",57,100000,"2","3","4","1","0","1","5"
"T",40,41666,"2","3","2","3","2","2","6"
"N",76,0,"2","3","4","1","0","1","3"
"T",74,1300000,"2","3","4","1","0","2","3"
