Codigo;Hijos;Sexo Jefe;Tipo Union;Edad Jefe;Region;Cantidad de personas;Estrato vivienda;Trabajo Jefe;Ingresos totales;Uso tecnologia Jefe;Edu Jefe;Afiliacion salud;N cuartos;N cuartos dormir;Valor Electricidad;N usos Lavadora
7166359-1;1;2;4;52;3;3;3;4;775000;2;1;1;5;2;75000;0
7166362-1;0;2;5;74;3;1;3;6;338333;0;1;1;1;1;30000;0
7166367-1;0;2;4;72;3;1;3;4;800000;2;1;1;3;1;26000;1
7166369-1;0;1;5;39;3;1;3;1;900000;2;1;1;2;1;30000;1
7166371-1;2;2;4;43;3;3;3;1;2236000;2;3;1;5;3;60000;1
7166372-1;0;2;5;36;3;1;3;4;316666;0;1;1;1;1;0;0
7166374-1;0;1;5;77;3;1;3;5;861449;0;0;1;1;1;0;0
7166375-1;0;2;3;74;3;1;6;4;1066666;2;3;1;3;1;200000;1
7166376-1;0;1;5;31;3;1;3;1;1938698;2;1;1;2;1;30000;0
7166388-1;0;2;4;76;3;1;3;6;1228116;2;1;1;1;1;50000;1
7166391-1;0;2;6;47;3;1;2;1;900000;2;1;1;3;1;34500;2
7166392-1;0;2;4;69;3;1;2;4;416666;2;1;1;3;1;46000;0
7166393-1;0;2;4;63;3;2;2;4;1270000;0;1;1;3;2;34000;1
7166395-1;1;2;4;57;3;4;2;4;2905700;2;1;1;3;3;50000;2
7166397-1;0;1;6;62;3;1;3;1;2000000;2;1;1;2;1;85000;1
7166398-1;0;1;5;27;3;4;2;1;8429949;2;3;1;4;3;150000;2
7166400-1;2;2;4;49;3;4;3;1;3687775;2;1;1;4;3;57000;2
7166402-1;1;2;4;27;3;3;2;1;2622125;2;3;1;3;2;40000;3
7166403-1;0;2;5;33;3;1;6;1;3250000;2;3;1;3;1;60000;2
7166404-1;0;1;3;79;3;1;6;6;3833333;2;1;1;3;1;87000;2
7166408-1;1;1;4;75;3;3;3;6;1628116;0;1;1;3;3;54000;1
7166410-1;0;2;4;71;3;1;6;4;6000000;2;1;1;3;1;120000;1
7166414-1;0;1;5;36;3;1;6;1;6000000;2;3;1;3;1;150000;1
7166415-1;1;1;3;84;3;4;2;5;2820000;0;1;1;5;4;52000;2
7166417-1;0;1;4;53;3;2;2;5;886666;2;1;1;2;1;40000;0
7166418-1;5;2;4;36;3;7;2;1;1775034;2;1;1;4;3;132000;3
7166421-1;0;2;5;18;3;1;6;3;529166;2;3;1;3;1;45000;1
7166428-1;0;1;5;65;3;1;3;1;540000;0;1;1;3;1;45000;0
7166436-1;0;1;4;53;3;1;2;1;925000;2;1;1;2;1;40000;0
7166438-1;2;2;3;67;3;3;2;4;1660000;0;1;1;4;3;35000;0
7166440-1;1;2;4;39;3;2;2;1;480000;0;1;1;1;1;62000;0
7166441-1;0;1;1;29;3;1;2;1;0;2;1;1;3;1;30000;1
7166443-1;0;2;4;62;3;1;2;1;158333;2;1;1;3;1;35000;1
7166444-1;1;2;4;69;3;2;2;4;845000;0;1;1;3;2;42570;1
7166445-1;2;2;2;48;3;3;2;1;1678333;2;1;1;3;2;54000;2
7166450-1;1;2;4;45;3;2;2;1;780000;2;1;1;2;2;36700;1
7166451-1;0;2;2;53;3;1;2;4;147000;0;1;1;2;1;21000;0
