Codigo;Hijos;Sexo Jefe;Tipo Union;Edad Jefe;Region;Cantidad de personas;Estrato vivienda;Trabajo Jefe;Ingresos totales;Uso tecnologia Jefe;Edu Jefe;Afiliacion salud;N cuartos;N cuartos dormir;Valor Electricidad;N usos Lavadora
7139944-1;2;2;4;83;3;3;3;4;2472916;0;0;1;4;3;77000;1
7139950-1;0;2;4;64;3;1;4;4;0;0;2;1;3;1;0;1
7139959-1;0;2;5;25;3;1;2;1;3430833;2;3;1;2;2;26000;1
7139960-1;2;2;4;41;3;3;2;4;1625300;2;1;1;3;2;58000;0
7139963-1;0;1;3;92;3;1;2;5;39583;0;0;1;2;1;0;0
7139968-1;1;2;2;23;3;2;2;4;33333;0;1;1;3;2;0;1
7139970-1;0;1;5;49;3;2;1;1;1439725;0;1;1;4;2;19800;0
7139973-1;1;2;6;51;3;2;1;1;1738666;0;1;1;4;3;18000;2
7139974-1;1;2;2;38;3;2;1;4;363333;2;1;1;3;2;20000;1
7139975-1;1;2;4;36;3;3;1;1;2080333;2;1;1;3;2;16000;0
7139976-1;5;2;4;32;3;6;1;1;917500;2;1;1;4;3;21000;2
7139987-1;0;1;2;70;3;1;2;1;1820833;2;1;1;3;1;0;0
7139989-1;0;1;5;32;3;1;2;1;1700000;2;3;2;3;1;0;0
7139990-1;0;1;4;54;3;1;2;1;1050000;2;1;1;3;1;16000;0
7139991-1;0;2;3;78;3;2;1;1;1200000;0;1;1;3;2;15000;0
7139992-1;2;1;4;42;3;3;1;1;1457459;0;0;1;1;1;0;0
7139995-1;0;2;5;53;3;3;3;4;2090782;2;1;1;4;3;49000;0
7139996-1;0;2;3;84;3;1;1;4;828116;0;1;1;3;1;15000;0
7139998-1;0;1;4;37;3;1;1;1;2087000;2;2;1;3;1;13500;1
7140000-1;0;1;5;41;3;1;2;1;720833;2;1;1;2;1;0;0
7140001-1;0;1;4;77;3;4;2;1;703333;0;1;1;5;3;47000;0
7140006-1;1;2;4;60;3;3;1;4;1305000;0;1;1;3;2;52000;0
7140007-1;1;1;4;27;3;2;2;1;1405000;2;1;1;2;1;0;0
7140013-1;0;1;5;25;3;1;2;1;1570009;2;1;1;1;1;0;0
7140014-1;0;1;4;38;3;1;2;1;1831666;2;1;1;1;1;0;0
7140017-1;4;2;4;34;3;5;1;1;842083;2;1;1;2;2;16410;0
7140018-1;0;2;6;70;3;3;1;4;1281666;0;1;1;3;3;18000;0
7140019-1;0;2;4;69;3;3;1;4;1199166;0;1;1;4;3;40000;2
7140022-1;1;2;3;56;3;2;1;1;1344782;0;1;1;3;2;20000;1
7140023-1;0;2;3;81;3;2;2;4;1113116;2;1;1;3;2;26000;0
7140028-1;0;2;5;52;3;2;2;1;8745833;2;3;1;6;2;650000;0
7140037-1;0;1;5;54;3;1;1;1;460000;0;1;1;3;1;35000;0
7140040-1;1;2;4;47;3;2;1;4;580000;0;1;1;4;2;17000;0
7140042-1;0;2;3;60;3;1;1;1;2116666;0;3;1;3;1;37000;1
7140047-1;0;2;3;68;3;1;1;4;335000;0;1;1;4;1;20000;0
7140056-1;3;2;4;48;3;5;1;4;741666;2;1;1;4;3;30000;0
7140064-1;0;1;6;75;3;1;1;6;1326000;2;1;1;3;1;34000;1
7140065-1;1;2;4;50;3;2;2;4;565000;2;1;1;3;2;47000;2
7140067-1;0;2;5;64;3;2;4;5;2658333;2;3;1;4;2;185000;2
7140070-1;0;2;4;67;3;1;4;6;1500000;2;3;1;4;1;89000;2
7140071-1;0;2;5;68;3;2;4;4;1650232;2;3;1;4;2;125000;1
7140075-1;0;2;5;18;3;1;3;3;158333;2;3;1;1;1;0;0
7140078-1;0;1;5;19;3;1;3;3;178333;2;3;1;1;1;0;0
7140079-1;0;1;5;25;3;1;3;3;33333;2;3;1;1;1;0;0
7140080-1;0;2;5;20;3;1;3;3;41666;2;3;1;1;1;0;0
7140081-1;0;2;5;17;3;1;3;3;225000;2;3;1;1;1;0;0
7140083-1;0;1;5;21;3;1;2;3;517833;2;3;1;1;1;0;0
7140084-1;0;1;5;19;3;1;3;3;366666;2;3;1;1;1;0;0
7140085-1;0;2;5;23;3;1;3;3;29166;2;3;1;1;1;0;0
7140086-1;0;1;5;19;3;1;3;3;173333;2;3;1;1;1;0;0
7140088-1;1;2;5;63;3;2;4;1;3700000;0;1;1;3;2;98000;0
7140091-1;1;2;3;61;3;2;4;5;2500000;2;3;1;3;2;96300;2
7140093-1;0;1;5;24;3;1;2;1;1179000;2;3;1;1;1;0;0
7140097-1;2;2;1;19;3;2;2;4;725000;2;1;1;3;1;28000;0
7140099-1;0;1;5;48;3;1;1;1;1541666;2;1;1;3;1;23000;0
7140111-1;0;2;3;69;3;1;1;4;226666;0;0;1;2;1;37000;4
7140116-1;0;2;3;82;3;1;1;4;193333;0;1;1;3;1;17500;0
7140117-1;0;1;4;58;3;1;1;1;260000;0;1;1;3;1;38000;0
7140122-1;0;1;2;67;3;1;1;4;213333;0;1;1;3;1;7000;0
7140128-1;1;2;4;56;3;2;3;4;350000;1;1;1;3;1;70000;1
7140130-1;0;2;4;54;3;1;3;1;6000000;2;3;1;3;1;1000000;1
7140133-1;0;1;4;55;3;1;3;1;2500000;2;3;1;3;2;0;0
7140135-1;1;2;4;48;3;2;3;4;1090000;2;2;1;4;1;180000;1
7140138-1;1;2;5;69;3;2;2;4;866666;0;1;1;4;2;89000;1
7140141-1;1;2;3;50;3;2;1;4;1428616;2;1;1;4;2;77000;2
7140145-1;1;2;3;63;3;3;2;5;1926400;0;1;1;3;2;60000;0
7140147-1;1;2;4;50;3;3;2;1;828200;0;1;1;3;2;70000;0
7140152-1;0;2;5;37;3;1;2;1;1014500;2;2;1;3;1;35000;2
7140157-1;2;2;4;24;3;3;2;4;731666;2;1;1;3;2;110000;0
7140158-1;3;2;6;41;3;4;2;5;858500;0;1;1;3;2;27000;2
7140160-1;1;2;4;57;3;2;2;5;900000;0;1;1;4;2;50000;0
7140161-1;3;2;4;25;3;4;2;1;1060000;0;1;1;3;2;37000;0
7140163-1;2;2;4;51;3;3;2;1;2330900;2;1;1;4;3;65000;1
7140164-1;1;2;4;24;3;3;2;1;828200;2;1;2;3;2;55000;0
7140166-1;1;2;4;34;3;2;2;1;1107708;2;1;1;3;1;65000;1
7140169-1;0;1;4;70;3;1;1;1;650000;0;0;1;3;1;12700;0
7140176-1;1;1;4;55;3;8;1;1;4458333;0;1;1;5;5;30000;0
7140178-1;0;1;5;19;3;1;1;1;1100000;2;1;1;3;1;25000;0
7140179-1;0;1;5;24;3;1;2;1;770000;2;1;1;2;1;15000;0
7140181-1;1;2;3;75;3;2;2;4;1025000;0;1;1;3;2;22000;1
7140184-1;0;2;5;38;3;2;1;1;2363000;2;3;1;2;1;12000;0
7140188-1;0;2;3;73;3;1;2;1;786666;0;1;1;3;1;44000;1
7140190-1;0;2;6;53;3;1;2;4;128000;0;0;1;3;1;11000;0
7140191-1;0;1;4;78;3;1;1;1;215000;0;1;1;2;1;10000;0
7140193-1;0;1;4;51;3;1;1;1;700000;0;0;1;1;1;5000;0
7140196-1;0;1;5;24;3;1;1;1;980000;2;3;1;2;1;12000;0
7140199-1;0;1;5;63;3;1;1;1;425000;0;0;1;2;1;10000;0
7140200-1;0;1;5;42;3;1;0;1;530000;0;0;2;1;1;5000;0
7140204-1;0;1;6;80;3;1;1;1;258333;0;0;1;3;1;6000;0
7140215-1;0;1;5;56;3;1;2;1;1100000;0;1;1;2;1;24000;0
7140219-1;3;2;4;45;3;4;3;4;1850296;0;1;1;4;3;55000;2
7140220-1;2;2;3;77;3;5;3;4;7426241;2;1;1;6;4;80000;3
7140225-1;1;2;5;61;3;2;3;1;1500000;0;1;1;3;2;38000;0
7140228-1;0;2;4;53;3;2;3;4;1671666;2;3;1;3;2;45000;1
7140229-1;2;2;4;56;3;5;4;1;6308333;2;3;1;4;3;52790;2
7140230-1;0;2;5;40;3;1;4;1;5191666;2;3;1;4;1;30000;1
7140232-1;1;1;4;53;3;3;3;1;150000;2;0;1;3;2;38000;2
7140238-1;1;2;4;49;3;3;2;2;3969932;2;1;1;1;1;60000;0
7140241-1;0;1;4;62;3;1;2;1;150000;0;1;2;4;1;20000;0
7140244-1;0;1;3;86;3;1;2;4;384166;0;1;1;4;1;65000;0
7140249-1;0;1;4;53;3;1;2;1;300000;0;1;1;1;1;25000;1
7140251-1;1;2;4;47;3;2;2;1;620000;0;1;1;1;1;69430;2
7140252-1;5;2;3;73;3;6;1;4;3130398;0;1;1;4;3;71000;2
7140254-1;0;1;5;63;3;1;1;1;600000;0;0;1;2;1;0;0
7140255-1;0;2;4;73;3;1;1;1;873333;0;1;1;2;1;7000;0
7140256-1;1;2;4;59;3;3;1;4;937500;0;0;1;2;2;25000;0
7140260-1;0;2;3;72;3;1;2;4;1062616;0;0;1;3;1;5670;0
7140262-1;0;1;4;28;3;1;2;1;380000;2;1;2;4;1;35000;0
7140263-1;0;1;5;47;3;1;2;1;550000;1;1;1;3;1;2000;0
7140267-1;0;1;6;43;3;1;1;1;700000;2;1;1;2;1;30000;0
7140269-1;0;2;3;50;3;3;1;4;600000;0;1;1;3;1;30000;0
7140271-1;0;1;4;53;3;1;1;1;780000;0;1;1;2;1;35000;0
7140272-1;0;2;5;54;3;1;2;1;1500000;0;3;1;2;1;11000;0
7140275-1;0;1;5;64;3;1;2;1;300000;0;1;1;2;1;21500;0
7140278-1;2;2;5;47;3;3;2;4;1250000;1;1;1;2;1;26000;0
7140281-1;0;1;5;39;3;1;2;1;475000;0;1;1;3;1;45000;0
7140286-1;0;1;6;52;3;1;2;1;441666;0;1;1;2;1;49000;0
7140289-1;0;1;5;54;3;1;2;1;250000;0;0;1;3;1;17500;0
7140291-1;0;2;3;71;3;2;2;5;308333;0;1;1;3;2;16250;1
7140296-1;0;1;5;54;3;3;2;1;692500;0;1;1;4;2;42500;2
7140297-1;1;1;5;68;3;3;2;1;975000;0;1;1;4;3;57000;0
7140300-1;0;1;5;54;3;1;2;5;5000;0;1;1;2;1;0;0
7140302-1;1;1;2;63;3;2;2;1;1650000;0;1;1;5;2;55000;1
7140304-1;3;2;2;28;3;4;2;4;1353833;0;1;1;3;2;30000;3
7140312-1;0;1;4;54;3;1;2;1;320000;0;1;1;2;1;35000;0
7140314-1;0;2;3;46;3;1;1;1;200000;0;1;1;2;1;750;0
7140315-1;0;1;5;48;3;1;1;1;700000;0;1;2;2;1;0;0
7140316-1;0;1;5;26;3;5;1;1;980000;0;1;1;2;2;21000;0
7140330-1;1;2;4;42;3;2;1;1;770000;0;1;1;1;1;28000;0
7140335-1;0;2;3;67;3;1;1;4;280000;0;1;1;2;1;12500;0
7140340-1;1;2;3;71;3;2;1;4;375000;0;1;1;3;2;22500;0
7140342-1;0;1;5;56;3;3;1;1;923333;0;1;1;3;3;10000;1
7140343-1;0;2;3;65;3;1;1;4;150000;0;1;1;4;1;15000;0
7140354-1;1;1;4;50;3;5;1;6;955000;2;1;1;3;3;27500;0
7140359-1;0;1;6;58;3;1;1;1;3450000;0;1;1;1;1;0;0
7140360-1;0;1;5;38;3;3;1;1;1250000;0;1;1;1;1;20000;0
7140365-1;0;1;5;52;3;2;1;1;1000000;0;1;1;5;2;26000;0
7140367-1;0;2;4;65;3;1;1;1;300000;0;1;1;1;1;15000;0
7140368-1;0;1;4;78;3;1;1;6;783333;0;1;1;4;1;12500;1
7140369-1;1;2;4;58;3;3;1;4;590000;0;1;1;4;2;41333;1
7140370-1;1;1;4;51;3;2;1;1;250000;0;1;1;2;2;25000;0
7140371-1;0;2;4;65;3;1;1;1;458333;0;1;1;2;1;22500;0
7140372-1;0;2;5;65;3;1;1;1;250000;0;1;1;3;1;27500;0
7140374-1;0;2;5;37;3;1;1;1;600000;2;3;1;1;1;19000;1
7140376-1;0;2;3;68;3;1;1;4;106666;0;1;1;3;1;14000;0
7140377-1;1;2;5;47;3;2;1;1;517250;2;1;1;4;2;20000;2
7140380-1;0;2;4;45;3;1;1;1;3416666;2;3;1;2;1;55000;2
7140393-1;0;2;4;65;3;1;2;4;96666;0;1;1;3;1;38000;0
7140395-1;0;1;4;70;3;1;1;5;180000;0;1;1;1;1;0;0
7140405-1;1;2;3;93;3;2;2;5;7854916;0;1;1;4;1;96618;3
7140409-1;0;2;3;60;3;2;2;4;723333;0;1;1;2;2;0;0
7140410-1;0;2;4;54;3;1;2;1;2300000;2;1;1;3;1;47000;1
7140411-1;2;2;5;35;3;3;2;1;475833;1;1;1;2;2;23000;1
7140416-1;1;2;5;42;3;2;2;1;1157000;2;3;1;3;2;12000;2
7140420-1;1;1;4;54;3;4;1;1;1905000;0;1;1;4;3;24000;0
7140421-1;0;1;5;53;3;3;1;1;1075000;0;1;1;2;2;22000;0
7140423-1;1;2;3;53;3;4;1;1;1200000;0;1;1;3;2;17000;0
7140430-1;0;1;5;48;3;1;1;1;452500;0;1;1;2;1;5000;0
7140432-1;0;2;6;77;3;1;1;4;190000;0;1;1;2;1;10000;0
7140435-1;0;2;4;74;3;2;1;4;875000;0;1;1;3;2;12000;0
7140437-1;0;1;4;62;3;1;1;1;900000;0;1;1;4;1;9000;0
7140441-1;0;1;4;51;3;1;1;1;483333;0;0;1;4;1;13000;0
7140444-1;0;1;4;44;3;1;1;1;733333;2;1;1;3;1;15000;0
7140447-1;0;1;5;22;3;1;2;3;450000;2;3;1;2;1;16000;1
7140448-1;0;2;4;51;3;1;2;1;250000;0;1;1;1;1;10000;0
7140450-1;0;1;6;68;3;1;1;1;570000;0;1;1;2;1;8000;0
7140451-1;0;1;5;43;3;1;1;1;600000;0;1;1;2;1;11500;0
7140460-1;0;1;4;53;3;1;1;1;810000;0;1;1;2;1;14000;0
7140463-1;0;1;5;50;3;2;1;1;1075000;0;1;1;3;2;15000;0
7140464-1;0;1;4;64;3;1;1;1;333333;0;0;1;3;1;13800;0
7140466-1;0;1;5;53;3;1;1;1;450000;0;1;1;3;1;6000;0
7140468-1;0;1;4;62;3;1;1;1;520000;0;1;1;3;1;0;0
7140476-1;0;2;4;56;3;2;2;4;300000;2;1;1;3;1;18000;2
7140478-1;3;2;4;41;3;5;1;1;1410000;0;1;1;3;2;14000;0
7140485-1;1;2;3;65;3;2;2;4;2234782;0;1;1;4;2;32000;2
7140486-1;0;2;4;27;3;2;2;1;2155148;2;2;1;3;2;0;2
7140487-1;0;1;5;33;3;2;2;1;8082960;2;3;1;3;2;0;1
7140491-1;1;2;4;35;3;3;3;1;2239812;2;1;1;3;2;49000;1
7140492-1;0;1;4;58;3;1;2;2;250000;0;1;1;1;1;0;0
7140495-1;0;1;4;67;3;1;2;1;700000;0;1;1;1;1;38000;0
7140499-1;1;2;5;19;3;2;1;2;150000;0;1;1;1;1;20000;0
7140501-1;1;2;3;88;3;2;6;4;4190000;2;1;1;6;2;166000;2
7140503-1;0;2;3;77;3;1;6;6;2475000;2;3;1;3;1;174000;2
7140505-1;0;2;5;56;3;1;1;1;2600000;2;3;1;3;1;134000;1
7140508-1;1;2;5;41;3;2;1;1;1660700;2;1;1;3;1;32000;0
7140509-1;0;1;4;68;3;2;1;6;3049333;2;1;1;3;2;27000;1
7140511-1;0;1;4;53;3;1;2;1;1470000;2;1;1;3;1;38700;2
7140512-1;0;2;3;90;3;2;5;6;4250000;0;3;1;5;2;185000;1
7140514-1;0;2;5;81;3;3;5;6;8100000;0;1;1;5;3;180000;1
7140516-1;3;2;4;47;3;8;2;4;2238481;2;1;1;4;3;40000;2
7140520-1;0;2;4;65;3;1;5;6;3116666;2;3;1;4;1;125000;1
7140521-1;0;2;5;34;3;1;5;1;5266666;2;3;1;4;1;77000;1
7140523-1;1;2;4;34;3;2;1;2;510000;2;1;1;3;2;40000;0
7140524-1;1;2;4;37;3;3;1;4;500000;0;1;1;3;2;20000;0
7140527-1;0;1;6;62;3;1;6;1;0;2;3;1;3;1;60000;1
7140531-1;0;2;3;64;3;1;5;4;0;2;3;1;3;2;0;1
7140534-1;0;2;3;73;3;1;5;6;869782;2;3;1;3;1;50000;1
7140537-1;0;2;3;70;3;1;6;4;3297125;0;1;1;4;1;125000;1
7140538-1;0;1;4;60;3;1;6;1;1828116;2;1;1;2;1;95000;1
7140539-1;0;2;3;67;3;1;5;4;828116;2;3;1;3;1;55000;1
7140540-1;1;2;4;49;3;2;6;1;4826666;2;3;1;3;2;120000;1
7140541-1;0;1;2;45;3;1;6;1;14000000;2;3;1;3;1;86216;2
7140546-1;0;1;5;51;3;2;6;1;6000000;2;3;1;5;2;196000;1
7140547-1;1;2;3;68;3;3;2;4;5905000;2;1;1;3;2;74000;2
7140550-1;1;2;4;47;3;2;5;1;1908333;2;3;1;5;2;64000;1
7140554-1;0;2;3;86;3;2;6;4;5575241;2;1;1;7;2;500000;1
7140556-1;2;2;3;44;3;3;2;1;6894166;2;3;1;4;3;42000;2
7140557-1;0;2;4;34;3;1;6;1;5250000;2;3;1;4;1;70500;2
7140566-1;3;2;4;40;3;4;2;1;955148;2;3;1;3;2;0;0
7140569-1;0;2;4;67;3;1;6;4;125000;0;1;1;3;1;101000;1
7140571-1;0;2;3;75;3;1;5;4;1316666;2;1;1;3;1;111662;2
7140572-1;0;2;5;27;3;3;4;1;2941374;2;3;1;4;3;115000;2
7140573-1;0;1;4;42;3;1;2;1;828611;0;1;1;2;1;0;0
7140574-1;1;2;4;65;3;3;2;4;2550000;2;1;1;4;2;38000;2
7140577-1;1;2;4;56;3;3;2;1;3676000;2;1;1;4;3;50000;0
7140579-1;3;2;4;30;3;4;1;2;329583;2;1;1;3;2;35000;0
7140581-1;1;2;5;72;3;6;1;5;970000;0;1;1;2;1;25300;2
7140585-1;1;2;3;70;3;6;1;4;26000532;0;1;1;6;5;43000;2
7140589-1;0;2;3;59;3;1;1;1;330000;0;0;2;1;1;14000;0
7140590-1;4;2;3;58;3;7;1;1;1650000;0;1;1;6;5;28000;3
7140593-1;0;2;4;44;3;1;1;1;320000;0;0;1;2;1;0;1
7140594-1;2;2;4;43;3;5;1;1;1899833;2;1;1;5;3;45000;1
7140595-1;2;2;4;51;3;3;1;1;540833;0;1;1;2;2;30000;0
7140596-1;0;2;3;74;3;1;1;4;155833;0;1;1;1;1;11000;0
7140597-1;2;2;4;57;3;3;1;4;1700000;0;1;1;4;3;36000;0
7140599-1;0;2;3;71;3;3;1;4;50000;0;0;1;4;3;18000;0
7140600-1;0;2;5;73;3;1;1;5;50000;0;0;1;2;1;27000;0
7140603-1;1;2;4;48;3;2;6;1;150000;2;3;1;6;2;0;1
7140604-1;0;2;4;63;3;2;6;1;5750000;2;3;1;4;2;200000;2
7140611-1;0;2;5;52;3;2;6;1;8125000;2;3;1;5;1;250000;1
7140612-1;0;1;4;61;3;1;6;6;5083333;2;1;1;4;1;120000;1
7140617-1;0;1;6;74;3;1;1;4;928126;0;1;1;3;1;20000;0
7140618-1;0;1;4;57;3;1;1;1;983333;0;0;2;3;1;10500;0
7140623-1;0;2;4;66;3;2;2;4;666666;0;1;1;3;2;65000;0
7140625-1;2;1;4;43;3;7;1;1;2640000;2;1;1;5;4;82500;0
7140628-1;0;2;4;18;3;1;2;1;750000;2;1;1;3;1;13500;0
7140629-1;0;2;3;65;3;2;2;4;275000;0;1;1;3;1;43500;1
7140630-1;0;2;3;51;3;2;2;1;733333;2;1;1;4;2;20850;1
7140632-1;0;2;4;64;3;1;1;1;200000;0;1;1;3;1;6000;0
7140635-1;3;2;4;46;3;4;2;4;1578500;0;1;1;3;3;28000;2
7140642-1;1;2;3;60;3;2;2;1;2389963;0;1;1;4;2;27000;1
7140645-1;0;2;3;60;3;2;2;4;49166;0;1;1;3;1;28000;2
7140646-1;1;2;4;54;3;2;2;1;1150000;0;1;1;3;2;29900;0
7140647-1;0;2;3;60;3;1;2;4;4544666;2;1;1;3;1;22090;1
7140651-1;0;2;5;22;3;4;2;1;1071000;2;1;1;2;2;6350;0
7140652-1;2;2;6;31;3;3;2;4;710000;2;1;1;1;1;35000;2
7140653-1;4;2;4;32;3;5;2;4;1163333;2;3;1;2;2;31500;0
7140653-2;1;2;4;68;3;2;2;4;845000;2;1;1;2;2;0;0
7140654-1;0;2;3;63;3;2;2;4;630000;2;1;1;2;2;31000;0
7140655-1;0;1;4;54;3;1;2;4;228333;0;1;1;3;1;18860;0
7140656-1;1;2;4;50;3;2;2;1;1370000;0;1;1;1;1;20000;0
7140661-1;2;2;2;49;3;4;1;4;587000;2;1;1;3;3;55000;0
7140669-1;0;2;2;46;3;1;1;1;408333;1;1;2;1;1;6000;0
7140672-1;1;1;5;53;3;2;3;1;2035532;2;1;1;4;2;0;0
7140677-1;1;2;4;63;3;2;2;1;9250000;0;1;1;2;2;45000;1
7140683-1;0;2;4;22;3;2;2;1;480000;0;1;1;2;2;200000;1
7140684-1;1;2;4;47;3;2;1;1;475000;0;0;1;2;1;20000;0
7140686-1;1;2;6;60;3;2;1;4;314833;0;1;1;3;2;25000;0
7140688-1;0;1;4;49;3;1;1;1;416666;2;1;1;1;1;10000;0
7140690-1;1;2;4;48;3;2;3;1;1000000;2;1;1;3;2;29000;0
7140691-1;1;2;3;85;3;2;3;4;1347125;2;1;1;2;2;37000;2
7140693-1;1;2;4;37;3;2;0;1;345000;0;1;1;4;2;25000;0
7140699-1;0;1;5;23;3;1;1;1;610000;0;1;1;1;1;8000;0
7140705-1;0;1;5;74;3;1;2;1;229166;0;0;1;3;1;10000;0
7140706-1;1;2;5;23;3;1;1;3;150000;2;3;1;2;1;13000;0
7140709-1;0;2;5;77;3;2;1;5;225000;0;0;1;2;2;8500;0
7140712-1;3;2;4;50;3;6;2;4;477500;2;1;1;2;2;9450;0
7140713-1;2;2;3;52;3;4;1;4;142500;0;1;1;4;2;25000;0
7140714-1;0;1;4;57;3;1;0;1;70000;0;1;1;1;1;0;0
7140718-1;1;2;4;62;3;3;1;4;235000;0;1;1;3;2;12000;0
7140719-1;0;2;4;72;3;1;3;4;708333;0;1;1;3;1;3300;0
7140720-1;1;2;5;40;3;2;2;1;100000;0;1;1;3;1;9000;0
7140721-1;0;1;4;58;3;1;3;1;1150000;0;1;1;4;1;32000;1
7140731-1;3;2;1;43;6;6;1;4;1960000;0;1;2;3;2;32000;0
7140734-1;0;2;3;68;6;1;2;4;1688000;2;1;1;4;1;36000;1
7140735-1;1;1;4;40;6;2;2;2;0;2;1;1;2;1;34000;0
7140739-1;2;2;5;47;6;3;2;4;1852000;0;1;1;4;3;0;2
7140740-1;0;2;3;66;6;1;2;4;1176000;0;1;1;2;1;24000;1
7140743-1;2;2;4;34;6;3;2;1;1016000;2;3;1;4;2;0;2
7140746-1;0;1;5;66;6;1;2;4;1400000;2;1;1;2;1;0;1
7140750-1;0;2;5;28;6;3;4;1;7975000;2;3;1;3;2;40000;1
7140754-1;2;2;5;27;6;7;1;4;1318000;2;1;1;4;2;0;3
7140757-1;1;2;5;17;6;2;1;4;8333;2;1;1;2;1;0;1
7140758-1;3;2;4;66;6;7;3;4;2700000;2;1;2;5;4;150000;2
7140761-1;1;2;5;53;6;4;1;4;948000;2;1;1;5;3;47000;2
7140762-1;0;2;5;65;6;5;3;4;3628333;2;1;1;4;4;148000;2
7140763-1;1;2;5;29;6;2;1;1;898000;2;1;1;3;1;0;2
7140768-1;0;2;4;57;6;4;1;4;1918000;2;1;1;5;3;35000;0
7140769-1;1;2;1;29;6;2;2;1;335000;0;1;1;1;1;21300;0
7140774-1;0;2;3;34;6;1;2;1;1520000;2;3;1;2;2;50000;1
7140791-1;0;2;4;58;1;4;1;2;969166;2;1;1;3;2;27000;2
7140794-1;1;2;2;37;1;2;1;6;1330000;2;3;1;4;1;53350;3
7140800-1;2;2;4;51;1;3;1;4;1955000;2;1;1;6;2;70000;0
7140806-1;1;2;3;84;1;4;2;5;2552950;0;1;1;5;3;94000;2
7140807-1;1;2;5;56;1;4;2;4;2069166;0;1;1;3;3;67000;1
7140807-2;2;2;5;44;1;3;2;1;790000;0;1;1;2;2;30000;0
7140808-1;2;2;4;67;1;4;1;4;3664833;0;0;1;4;3;98000;3
7140809-1;0;1;3;60;1;1;1;1;520000;0;1;1;3;1;60000;0
7140811-1;4;2;4;55;1;12;2;4;1758333;0;1;1;5;4;100000;0
7140813-1;0;2;4;69;1;2;2;1;1898212;0;3;1;3;2;65000;2
7140814-1;2;2;4;65;1;3;2;4;83333;2;1;1;4;2;60000;2
7140817-1;1;1;3;63;1;2;1;1;1800000;0;1;1;3;1;54000;0
7140818-1;1;2;4;48;1;2;1;1;861666;1;1;1;3;2;45000;0
7140821-1;1;2;4;61;1;4;1;1;1181666;0;1;1;5;3;56500;0
7140828-1;0;1;6;53;1;1;0;1;750000;0;1;1;3;1;22500;0
7140830-1;5;2;4;29;1;6;1;1;1472500;2;3;1;4;3;45380;2
7140833-1;2;2;5;47;1;3;1;2;1500000;0;1;1;3;2;37000;2
7140840-1;0;2;4;65;1;1;1;1;685166;0;1;1;4;1;55000;0
7140843-1;1;2;4;51;1;2;2;4;816666;0;3;1;3;2;150000;2
7140845-1;1;2;3;86;1;2;3;5;683333;0;0;1;3;1;63200;2
7140848-1;1;2;4;43;1;2;1;4;509166;1;1;1;3;1;43000;0
7140851-1;0;2;2;56;1;1;3;1;1238898;2;3;1;3;1;130000;0
7140853-1;0;1;4;53;1;2;1;1;1020000;0;1;1;3;2;24000;0
7140855-1;0;1;4;58;1;1;1;1;850000;0;1;1;3;1;49800;0
7140858-1;1;2;2;41;1;4;1;4;908333;2;3;1;5;3;92000;2
7140860-1;0;1;5;33;1;1;1;1;1116666;2;1;1;3;1;49800;2
7140863-1;0;1;3;63;1;1;1;2;300000;0;1;1;2;1;22800;0
7140866-1;1;2;4;45;1;3;2;1;730000;0;1;1;2;1;35000;0
7140868-1;1;2;3;52;1;3;1;4;385833;0;0;1;2;1;18000;0
7140870-1;1;2;3;59;1;5;1;6;166500;0;1;1;3;2;15000;0
7140871-1;2;2;4;49;1;3;1;1;2266666;2;3;1;3;2;45600;2
7140874-1;0;1;6;62;1;1;1;6;3370000;2;1;1;3;2;29805;1
7140882-1;0;2;5;50;1;1;2;1;680000;0;1;1;2;1;27000;2
7140883-1;2;1;4;45;1;4;1;1;1163166;0;1;1;3;2;34000;0
7140892-1;0;2;3;69;1;1;1;4;316666;0;1;1;2;1;29300;1
7140895-1;0;1;5;62;1;1;1;4;308333;0;2;1;2;1;0;0
7140900-1;1;2;4;55;1;3;1;4;290833;0;1;1;2;1;36000;0
7140903-1;0;2;4;47;1;1;1;1;5000000;2;3;1;3;1;22500;2
7140905-1;1;2;2;19;1;2;1;4;116666;1;1;1;2;1;0;0
7140906-1;0;1;4;74;1;1;1;5;230833;0;0;1;3;1;0;1
7140907-1;2;2;4;43;1;3;1;1;486666;0;1;1;4;2;30000;0
7140908-1;1;2;3;73;1;3;1;4;612125;0;0;1;3;2;56000;3
7140912-1;2;2;4;28;1;3;1;1;502500;1;1;1;2;1;0;0
7140917-1;0;2;3;61;1;4;1;4;450666;0;1;1;3;2;21700;3
7140918-1;0;1;4;69;1;1;1;1;276666;0;0;1;3;1;0;0
7140923-1;2;2;4;22;1;3;1;1;512500;2;1;1;3;1;32000;1
7140933-1;3;2;3;53;1;5;1;1;1200000;0;1;1;3;2;35000;1
7140935-1;0;1;4;42;1;1;1;1;350000;0;1;1;3;1;28500;2
7140938-1;0;1;5;24;1;1;0;1;933333;0;3;1;2;1;35000;0
7140946-1;2;2;2;34;1;3;1;4;354166;0;0;1;2;1;7000;0
7140947-1;0;2;3;73;1;1;0;4;355000;0;0;1;1;1;0;0
7140950-1;2;2;4;74;4;6;1;4;1364166;0;1;1;5;2;63000;0
7140954-1;3;2;4;59;4;11;1;5;400000;0;0;1;5;4;38000;0
7140956-1;2;2;4;38;4;3;1;1;400000;0;1;1;3;2;45000;1
