Codigo;Hijos;Secuencia Jefe;Sexo Jefe;Secuencia Conyuge;Sexo Conyuge;Tipo Union;Edad Jefe;Edad Conyuge;Region;Energia;Estrato vivienda;Trabajo Jefe;Trabajo conyuge;Uso tecnologia Jefe;Uso tecnologia conyuge;Edu Jefe;Edu Conyuge;
7121755-1;0;1;1;2;2;6;32;43;1;1;1;2;4;2;0;1;1;
7121756-1;2;1;1;2;2;2;29;25;1;1;1;1;4;2;1;1;1;
7121757-1;0;1;1;2;2;2;62;61;1;1;1;2;4;0;2;1;1;
7121759-1;2;1;1;2;2;2;25;26;1;1;1;1;4;1;2;1;2;
7121762-1;0;1;1;2;2;6;65;55;1;1;1;1;4;0;1;1;1;
7121763-1;0;1;1;2;2;6;77;73;1;1;1;4;4;0;0;1;1;
7121764-1;0;1;1;2;2;6;53;57;1;1;1;1;1;0;1;0;1;
7121765-1;0;1;2;;;3;73;;1;1;1;4;;0;;1;;
7121767-1;1;1;2;;;4;37;;1;1;1;1;;0;;1;;
7121769-1;0;1;2;;;4;50;;1;1;1;5;;0;;0;;
7121770-1;1;1;1;2;2;6;75;69;1;1;1;5;4;0;0;1;0;
7121773-1;3;1;1;2;2;6;46;41;1;1;1;1;4;0;0;1;3;
7121774-1;0;1;1;2;2;6;63;62;1;1;1;1;4;0;0;1;1;
7121776-1;0;1;1;2;2;6;60;60;5;1;3;1;4;2;2;3;3;
7121783-1;0;1;2;2;1;2;57;59;5;1;3;4;1;2;2;1;3;
7121801-1;0;1;1;2;2;2;85;72;3;1;2;5;4;0;0;0;0;
7121802-1;1;1;2;;;5;53;;3;1;2;4;;2;;1;;
7121805-1;3;1;1;2;2;6;39;40;3;1;2;1;4;2;2;1;1;
7121806-1;1;1;1;2;2;2;32;33;3;1;1;1;4;2;2;1;1;
7121808-1;1;1;1;2;2;2;20;35;3;1;1;1;4;0;0;1;1;
7121808-2;0;1;1;2;2;2;29;27;3;1;1;1;4;0;2;1;1;
7121810-1;0;1;1;2;2;1;39;19;3;1;1;1;4;2;2;1;3;
7121811-1;2;1;1;2;2;6;34;35;3;1;1;1;4;2;2;3;3;
7121812-1;1;1;2;;;1;46;;3;1;1;1;;0;;1;;
7121813-1;1;1;2;;;5;57;;3;1;1;1;;0;;1;;
7121814-1;0;1;2;;;4;48;;3;1;1;1;;0;;1;;
7121816-1;4;1;2;;;4;36;;3;1;1;1;;2;;1;;
7121817-1;0;1;1;;;5;50;;3;1;1;2;;0;;1;;
