Codigo;Hijos;Secuencia Jefe;Sexo Jefe;Tipo Union;Edad Jefe;Region;Energia;Estrato vivienda;Trabajo Jefe;Uso tecnologia Jefe;Edu Jefe;;;
7121969-1;2;1;2;5;36;2;1;3;1;2;3;;;
7121970-1;0;1;2;3;60;2;1;2;4;0;1;;;
7121971-1;0;1;2;3;82;2;1;2;4;0;1;;;
7121972-1;0;1;1;4;62;2;1;2;1;0;1;;;
7121973-1;0;1;2;5;54;2;1;2;1;0;1;;;
7121979-1;0;1;1;4;63;2;1;2;6;2;1;;;
7121980-1;0;1;1;1;76;2;1;2;1;0;1;;;
7121982-1;0;1;2;6;68;2;1;2;4;0;1;;;
7121984-1;0;1;2;4;58;2;1;2;1;0;1;;;
7121989-1;2;1;2;4;42;2;1;2;1;0;1;;;
7121989-2;0;1;1;5;42;2;1;2;1;0;1;;;
7121990-1;0;1;2;4;62;2;1;2;4;0;1;;;
7121993-1;1;1;2;4;52;2;1;3;1;2;3;;;
7122002-1;1;1;2;5;41;2;1;2;1;0;1;;;
7122003-1;0;1;1;3;85;2;1;2;4;0;3;;;
7122008-1;0;1;1;5;34;2;1;2;1;0;1;;;
7122009-1;0;1;2;3;88;2;1;2;5;0;0;;;
7122010-1;0;1;2;4;63;2;1;3;4;2;2;;;
7122020-1;3;1;2;2;35;2;1;3;4;2;3;;;
7122023-1;1;1;2;5;27;2;1;3;1;2;3;;;
7122025-1;1;1;2;5;54;2;1;1;4;0;1;;;
7122026-1;0;1;2;4;57;2;2; ;4;0;1;;;
7122030-1;0;1;1;4;56;2;1;1;1;0;1;;;
7122031-1;0;1;1;4;72;2;1;0;4;0;1;;;
7122033-1;0;1;2;4;81;2;1;1;4;0;1;;;
7122035-1;0;1;1;4;52;2;1;0;1;0;0;;;
7122036-1;0;1;2;4;66;2;1;2;4;0;0;;;
7122038-1;2;1;2;4;46;2;1;2;1;0;0;;;
7122040-1;0;1;2;3;65;2;1;2;4;0;1;;;
7122046-1;1;1;2;4;58;2;1;4;4;2;1;;;
7122055-1;2;1;2;4;30;2;1;2;1;2;2;;;
7122058-1;2;1;2;4;48;2;1;2;4;2;1;;;
7122066-1;3;1;2;4;32;2;1;2;1;2;3;;;
7122068-1;1;1;2;4;50;2;1;2;1;0;1;;;
7122072-1;1;1;1;3;74;2;1;2;4;2;1;;;
7122072-2;1;1;1;4;58;2;1;2;1;2;1;;;
7122073-1;1;1;2;3;70;2;1;2;4;0;1;;;
7122073-2;2;1;2;4;44;2;1;2;1;2;1;;;
7122074-1;0;1;2;4;44;2;1;2;1;2;3;;;
7122075-1;1;1;2;5;26;2;1;1;1;2;2;;;
7122077-1;2;1;2;3;68;2;1;1;4;0;1;;;
7122080-1;0;1;1;4;39;2;1;2;1;2;3;;;
7122080-2;2;1;2;4;37;2;1;2;1;0;1;;;
7122084-1;0;1;2;3;57;2;1;2;4;0;0;;;
7122085-1;1;1;2;3;68;2;1;2;6;0;1;;;
7122087-1;2;1;2;5;31;2;1;1;1;2;1;;;
7122103-1;0;1;2;5;69;2;1;2;4;0;1;;;
7122104-1;0;1;1;5;20;2;1;2;1;2;1;;;
7122105-1;0;1;1;4;56;2;1;2;1;2;1;;;
7122113-1;1;1;2;3;56;2;1;3;4;2;1;;;
7122119-1;0;1;1;5;66;2;1;2;1;2;1;;;
7122121-1;0;1;1;4;68;2;1;2;1;0;1;;;
7122125-1;1;1;2;5;55;2;1;2;4;2;1;;;
7122127-1;1;1;2;5;64;2;1;3;4;2;3;;;
7122128-1;0;1;1;5;25;2;1;3;1;2;3;;;
7122131-1;1;1;2;4;71;2;1;2;4;2;1;;;
7122136-1;0;1;1;4;40;2;1;2;1;2;1;;;
7122137-1;1;1;2;5;78;2;1;2;5;0;1;;;
7122139-1;0;1;1;5;42;2;1;2;2;0;1;;;
7122140-1;1;1;2;2;40;2;1;2;1;0;1;;;
7122146-1;0;1;1;5;46;2;1;2;1;2;2;;;
7122147-1;1;1;2;5;82;2;1;3;6;0;1;;;
7122149-1;3;1;2;4;54;2;1;2;4;2;1;;;
7122150-1;1;1;2;3;88;2;1;3;4;0;1;;;
7122157-1;0;1;1;5;21;2;1;2;1;2;3;;;
7122163-1;2;1;2;3;58;7;1;4;4;0;1;;;
7122168-1;0;1;2;3;69;7;1;4;4;2;3;;;
7122172-1;0;1;2;5;42;7;1;4;1;2;3;;;
7122173-1;0;1;2;4;73;7;1;5;4;2;3;;;
7122176-1;0;1;2;5;59;7;1;4;1;2;3;;;
7122180-1;0;1;2;5;73;7;1;6;6;2;3;;;
7122184-1;3;1;2;4;73;7;1;5;4;0;3;;;
7122193-1;0;1;2;3;59;7;1;1;5;0;1;;;
7122198-1;1;1;2;4;43;7;1;2;4;2;1;;;
7122201-1;1;1;2;4;27;7;1;3;1;2;3;;;
7122206-1;0;1;1;5;26;7;1;3;1;2;1;;;
7122208-1;0;1;1;4;71;7;1;0;1;0;1;;;
7122212-1;0;1;2;3;60;7;1;1;1;2;0;;;
7122213-1;0;1;1;5;23;7;1;1;1;2;2;;;
7122214-1;1;1;2;4;47;7;1;1;1;2;1;;;
