Codigo;Hijos;Secuencia Jefe;Sexo Jefe;Secuencia Conyuge;Sexo Conyuge;Tipo Union;Educacion padre;Educacion madre
7122297-1;1;1;1;2;2;6;;
7122298-1;2;1;2;;;1;;
7122299-1;3;1;2;2;1;2;;
7122300-1;3;1;2;;;2;;
7122301-1;2;1;1;2;2;2;;
7122302-1;3;1;2;;;3;;
7122303-1;4;1;2;2;1;2;;
7122304-1;0;1;1;2;2;6;;
7122306-1;1;1;2;;;3;;
7122307-1;2;1;2;;;3;;
7122308-1;1;1;2;;;5;;
7122309-1;0;1;1;2;2;1;;
7122310-1;2;1;1;2;2;6;;
7122312-1;0;1;1;2;2;2;;
7122313-1;1;1;1;2;2;2;;
7122314-1;0;1;2;;;5;;
7122315-1;2;1;2;;;4;;
7122316-1;0;1;1;2;2;2;;
7122317-1;3;1;1;2;2;2;;
7122318-1;2;1;1;2;2;2;;
7122319-1;1;1;1;;;3;;
7122320-1;1;1;2;;;4;;
7122321-1;7;1;1;2;2;2;;
7122321-2;0;1;1;;;5;;
7122321-3;0;1;1;;;5;;
7122321-4;0;1;1;;;5;;
7122322-1;0;1;1;;;5;;
7122323-1;0;1;2;;;5;;
7122324-1;0;1;2;;;5;;
7122325-1;2;1;1;2;2;2;;
7122326-1;1;1;2;2;1;2;;
7122327-1;0;1;2;;;4;;
7122328-1;1;1;2;;;4;;
7122329-1;2;1;2;2;1;2;;
7122330-1;0;1;1;2;2;2;;
7122331-1;2;1;2;;;2;;
7122332-1;1;1;1;2;2;6;;
7122333-1;0;1;1;;;4;;
7122334-1;1;1;1;2;2;2;;
7122335-1;3;1;1;2;2;2;;
7122336-1;0;1;2;2;1;1;;
7122337-1;0;1;1;2;2;6;;
7122338-1;0;1;2;2;1;6;;
7122339-1;0;1;1;2;2;6;;
7122340-1;2;1;2;2;1;2;;
7122342-1;2;1;2;;;4;;
7122343-1;2;1;2;2;1;6;;
7122344-1;1;1;1;2;2;6;;
7122345-1;1;1;1;2;2;2;;
7122346-1;2;1;1;2;2;6;;
7122347-1;0;1;1;2;2;2;;
7122349-1;1;1;1;2;2;2;;
7122351-1;0;1;1;;;5;;
7122355-1;0;1;1;;;4;;
