Codigo;Hijos;Sexo Jefe;Sexo Conyuge;Tipo Union;Edad Jefe;Edad Conyuge;Region;Cantidad de personas;Estrato vivienda;Trabajo Jefe;Trabajo conyuge;Ingresos totales;Uso tecnologia Jefe;Uso tecnologia conyuge;Edu Jefe;Edu Conyuge;Afiliacion salud;N cuartos;N cuartos dormir;Valor Electricidad;N usos Lavadora
7190941-1;1;1;2;2;26;23;1;3;1;1;4;400000;0;0;1;1;1;1;1;57000;0
7190942-1;0;2;1;1;40;26;1;2;1;4;1;650000;1;1;1;1;1;2;1;46090;1
7190944-1;1;1;2;6;62;70;1;4;1;1;1;775000;0;0;3;1;1;3;2;45000;0
7190950-1;4;1;2;2;38;37;1;6;1;1;4;2200000;2;2;1;0;1;3;2;85000;1
7190951-1;2;1;2;2;75;77;1;4;1;1;4;1100000;0;0;0;0;1;3;2;800000;0
7190952-1;2;1;2;2;51;37;1;4;2;1;1;940000;0;0;1;1;1;4;2;75000;2
7190959-1;0;1;2;2;59;55;1;3;2;4;4;2658333;0;0;1;1;1;5;1;56000;1
7190960-1;0;1;2;2;44;52;1;2;2;1;4;2147833;2;1;1;1;1;5;1;59320;2
7190962-1;3;1;2;6;65;57;1;9;2;4;4;1216333;0;0;0;1;1;4;3;240000;2
7190964-1;2;1;2;2;29;35;1;5;1;1;4;717166;0;0;1;1;1;4;2;90000;0
7190965-1;2;1;2;2;43;35;1;4;1;1;4;608833;0;0;1;1;1;3;2;45000;0
7190966-1;2;1;2;2;37;36;1;4;1;1;4;1042916;0;0;3;3;1;3;2;75000;2
7190967-1;1;1;2;6;63;63;1;3;1;1;4;998333;0;0;0;1;1;4;3;55000;3
7190968-1;0;1;2;2;64;56;1;3;1;1;4;965000;0;0;1;1;1;2;2;27000;1
7190969-1;0;1;2;6;62;61;1;2;1;1;4;562333;0;0;1;1;1;4;1;44300;2
7190972-1;2;1;2;2;44;39;1;4;1;1;4;1591135;2;0;1;1;1;3;2;35000;0
7190973-1;1;2;1;2;53;52;1;4;1;4;1;1506787;0;0;1;1;1;3;2;10100;2
7190975-1;0;1;2;6;54;49;1;2;1;5;4;1966232;2;2;3;1;1;4;2;83000;2
7190976-1;1;2;1;2;22;25;1;3;1;4;1;886449;0;0;1;1;1;1;1;12000;2
7190977-1;0;1;2;2;25;20;1;2;1;1;1;1233333;2;2;1;3;1;2;1;60896;2
7190986-1;1;1;2;1;55;65;1;3;1;4;1;895000;0;0;1;1;2;2;1;50000;0
7190988-1;3;1;2;2;25;34;1;5;1;1;1;300000;2;2;1;1;2;2;2;28705;3
7190998-1;1;1;2;2;61;59;1;3;1;1;4;300000;0;0;1;1;1;3;2;50000;0
7191003-3;1;1;2;1;28;21;1;3;1;1;4;80000;0;1;1;1;1;4;1;85087;0
7191004-1;3;1;2;2;30;27;1;9;1;1;4;1329458;2;0;1;1;1;3;2;8279;3
7191005-1;1;1;2;2;51;65;1;6;1;1;4;370833;0;0;0;1;1;4;3;90000;2
7191006-1;2;1;2;2;34;30;1;4;1;1;4;355000;1;2;1;3;1;4;3;56000;0
7191007-1;3;1;2;2;53;55;1;7;2;1;4;600000;2;2;1;1;1;4;3;90000;0
7191009-1;3;1;2;2;33;37;1;5;2;1;4;2171449;2;2;1;3;1;3;2;65000;0
7191012-1;2;2;1;2;39;37;1;4;1;4;1;750000;0;0;1;0;1;5;3;75000;0
7191013-1;3;1;2;2;37;31;1;5;1;1;4;471666;1;2;1;1;1;4;3;65000;0
7191015-1;4;1;2;2;50;45;1;11;1;1;4;2080000;0;2;1;1;1;5;2;60000;0
7191015-2;4;1;2;2;42;43;1;6;1;1;4;300000;2;2;1;1;1;4;2;45000;0
7191016-1;1;1;2;6;43;42;1;3;1;1;4;300000;0;2;3;2;1;3;2;60000;0
7191017-1;0;1;2;2;64;55;1;2;1;5;4;37500;0;0;0;1;1;3;1;20000;0
7191018-1;3;1;2;2;41;37;1;5;1;1;1;26666;0;2;1;1;1;3;2;45000;0
7191019-1;2;1;2;6;45;40;1;4;3;1;4;600000;2;2;3;3;1;4;3;135000;3
7191025-1;2;1;2;2;34;32;1;4;1;1;4;908116;0;2;1;3;1;2;1;85000;0
7191027-1;3;1;2;6;43;39;1;6;1;4;4;1500000;2;2;1;1;1;3;2;90000;3
7191030-1;3;1;2;2;39;33;1;5;1;2;1;500000;2;2;1;1;1;4;3;130000;0
7191032-1;3;1;2;2;35;27;1;5;0;1;3;283333;1;2;1;3;1;2;1;74875;2
7191034-1;2;1;2;2;87;83;1;5;1;4;4;873000;0;0;0;0;1;4;2;39000;3
7191035-1;3;1;2;6;48;47;1;5;3;1;4;1400000;2;2;1;1;1;6;4;330000;3
7191036-1;2;1;2;2;48;38;1;4;1;1;1;1678116;2;2;1;1;1;4;2;54000;2
7191039-1;1;1;2;2;27;31;1;3;1;1;1;1200000;2;2;3;3;1;3;1;65000;2
7191063-1;4;1;2;2;35;31;1;6;0;1;4;1009983;0;0;1;1;1;2;1;110508;0
7191066-1;1;1;2;2;34;33;1;3;0;1;4;1178116;0;2;1;1;1;1;1;85750;2
7191067-1;1;1;2;2;65;55;1;4;0;1;4;1700000;0;0;0;1;1;3;3;32400;1
7191068-1;3;2;1;2;40;34;1;5;0;4;1;885000;0;0;1;0;1;2;1;0;0
7191069-1;0;1;2;2;53;60;1;2;0;1;4;1055833;0;0;0;0;1;3;1;30000;2
7191071-1;2;1;2;2;52;36;1;3;0;1;4;750000;0;0;1;0;1;1;1;24000;0
7191074-1;3;1;2;2;32;37;1;5;1;1;1;1575000;0;0;1;1;2;1;1;25000;0
7191075-1;0;2;1;2;69;62;1;2;1;1;1;1597000;0;0;0;1;1;3;2;200000;2
7191076-1;1;2;1;2;49;57;1;8;1;4;1;1289000;0;0;0;0;1;3;2;50000;0
7191082-1;0;1;2;6;58;55;1;2;2;1;1;1978116;0;0;1;1;1;4;2;50000;2
7191085-1;1;2;1;2;54;57;1;6;1;4;1;2120333;0;0;0;1;1;3;2;50000;2
7191089-1;1;1;2;2;34;27;1;3;1;1;1;3015000;2;2;3;3;1;4;2;42000;2
7191090-1;2;1;2;2;35;30;1;4;1;1;1;1593616;2;2;1;1;1;3;2;50000;3
7191092-1;2;1;2;6;44;35;1;4;1;1;1;1879866;2;2;1;1;1;3;2;60000;2
7191100-1;2;1;2;6;51;41;1;5;1;1;4;2327782;2;2;1;1;1;4;3;56000;2
7191107-1;4;1;2;6;37;33;1;5;0;1;4;650000;0;0;1;1;1;3;2;60000;1
7191109-1;4;1;2;2;36;28;1;6;0;1;4;931666;0;2;1;1;2;3;2;40000;3
7191110-1;2;1;2;2;46;46;1;4;0;1;1;2277116;0;0;1;1;1;3;2;25000;0
7191111-1;3;1;2;2;62;47;1;4;0;1;4;915000;0;0;1;1;2;4;3;23000;1
7191112-1;0;1;2;2;57;51;1;3;1;1;4;1377916;0;0;1;1;1;4;1;25000;0
7191117-1;3;1;2;2;39;20;1;4;0;1;4;1010000;0;0;3;1;1;2;1;111867;1
7191118-1;3;1;2;2;48;39;1;5;0;1;4;2044166;0;0;1;1;1;3;1;33570;2
7191119-1;0;1;2;1;29;20;1;2;0;1;2;1130000;2;1;1;3;1;3;1;35299;3
7191120-1;1;1;2;2;26;19;1;3;0;1;4;1125949;2;2;1;3;1;2;1;10607;2
7191121-1;2;1;2;2;43;33;1;3;0;1;4;1030000;0;0;0;1;1;2;1;0;1
7191122-1;4;1;2;2;33;44;1;6;0;1;4;1286666;0;0;1;1;1;3;2;60346;0
7191123-1;3;1;2;2;37;34;1;5;0;1;1;2654282;0;0;1;1;1;3;2;107727;2
7191124-1;4;1;2;6;35;32;1;6;0;1;4;1217500;0;0;1;1;1;3;2;77902;1
7191126-1;0;1;2;2;43;47;1;2;0;1;4;1026333;0;0;1;1;1;2;1;49906;0
7191127-1;1;2;1;6;55;62;1;3;1;1;1;2539566;0;0;1;1;1;3;2;120000;0
7191132-1;0;1;2;6;68;58;1;2;1;4;4;2230000;0;2;1;1;1;3;2;70000;2
7191141-1;2;1;2;6;48;48;1;4;2;1;4;2300000;2;2;2;2;1;4;3;110000;3
7191145-1;2;1;2;6;58;52;1;5;1;1;4;3188800;0;2;1;1;1;5;3;115000;2
7191150-1;0;2;1;6;71;88;1;4;1;4;5;439166;0;0;1;0;1;2;1;60000;1
7191151-1;4;1;2;2;64;66;1;10;1;1;1;3205833;0;0;0;1;1;4;4;120000;2
7191155-1;0;2;1;6;61;78;1;4;1;5;1;1212000;0;0;0;1;1;3;2;48000;1
7191167-1;3;1;2;6;47;43;1;6;2;1;4;1076166;2;2;1;1;1;3;2;65000;2
7191173-1;3;1;2;2;49;33;1;6;2;1;1;705000;2;0;1;1;2;3;2;25000;0
7191174-1;1;1;2;6;48;42;1;5;1;2;4;1123000;2;0;0;1;1;2;2;78000;2
7191178-1;2;1;2;6;51;47;1;4;1;2;1;3828333;2;2;3;3;1;3;2;120000;3
7191179-1;1;1;2;2;38;31;1;3;2;1;1;5288333;2;2;3;3;1;5;1;110000;3
7191182-1;0;1;2;6;83;77;1;2;2;5;4;140000;0;0;1;0;1;4;1;25000;0
7191185-1;1;1;2;2;42;45;1;3;2;1;1;6388000;2;2;3;3;1;3;2;250000;2
7191186-1;0;1;2;1;62;45;1;2;2;1;4;790000;0;0;1;0;1;3;1;41350;0
7191187-1;3;1;2;2;34;29;1;5;2;1;4;1030000;2;0;1;1;1;3;2;52390;2
7191189-1;1;1;2;2;54;51;1;4;1;1;4;910000;0;0;1;1;1;3;2;45000;2
7191190-1;2;2;1;6;42;67;1;6;1;4;5;422500;2;0;0;0;1;4;3;8000;2
7191191-1;0;1;2;2;76;72;1;2;1;4;4;283333;0;0;1;1;1;3;2;67000;2
7191193-1;3;1;2;2;42;31;1;5;1;1;4;948000;0;0;3;1;2;2;2;50000;2
7191194-1;3;1;2;2;33;30;1;6;1;1;4;1165000;0;2;1;3;1;3;2;70000;0
7191195-1;2;1;2;6;60;48;1;8;1;1;4;1390000;0;2;0;1;1;5;4;61800;3
7191198-1;2;1;2;2;34;33;1;4;1;1;4;958500;2;2;1;1;1;2;1;15403;0
7191199-1;0;1;2;6;70;73;1;2;2;1;4;2066666;0;0;1;1;1;3;1;58000;0
7191201-1;1;1;2;2;28;31;1;2;2;1;1;3650000;2;2;3;3;1;3;1;91000;1
7191203-1;2;1;2;2;76;60;1;4;0;1;4;1375000;0;0;0;0;1;1;1;23712;0
7191205-1;2;1;2;6;31;26;1;4;1;1;4;1100000;0;0;1;1;1;1;1;51541;2
7191206-1;2;1;2;2;46;29;1;4;1;1;4;965000;0;0;1;0;1;2;2;103970;0
7191210-1;0;1;2;2;32;25;1;2;1;1;4;5716666;0;0;1;1;1;1;1;25000;0
7191211-1;1;1;2;2;73;73;1;6;0;1;5;382500;0;0;0;0;1;2;2;35063;0
7191212-1;3;1;2;2;33;29;1;5;1;1;4;460000;2;2;1;1;2;3;2;0;3
7191213-1;2;1;2;6;53;45;1;4;1;1;4;390000;0;0;1;1;1;2;1;60041;0
7191216-1;1;1;2;6;52;44;1;3;1;1;4;4500000;2;2;3;3;1;3;2;120000;2
7191219-1;3;2;1;6;47;37;1;5;1;4;1;1281000;0;0;0;1;1;4;3;60000;2
7191223-1;0;2;1;2;50;48;1;2;1;4;1;900000;0;0;1;0;1;3;1;80000;0
7191225-1;0;2;1;6;56;58;1;3;1;1;4;3675000;0;0;3;3;1;3;2;60000;2
7191227-1;2;2;1;6;25;28;1;4;0;4;1;59000;0;0;1;1;1;2;1;100790;1
7191228-1;2;1;2;2;59;54;1;4;0;1;1;795000;0;0;0;1;1;3;2;29073;0
7191229-1;2;1;2;2;64;44;1;4;1;1;4;29000;0;0;1;1;1;1;1;21195;0
7191230-1;2;2;1;2;26;48;1;4;0;1;1;109000;0;2;1;3;1;1;1;43945;0
7191231-1;0;1;2;2;67;55;1;3;1;5;4;161333;0;0;1;1;1;3;2;47490;0
7191232-1;5;2;1;2;45;35;1;7;1;4;1;703500;0;0;0;0;1;2;1;41000;2
7191233-1;2;2;1;2;49;49;1;5;1;4;1;1350000;0;0;1;1;1;4;3;50000;3
7191236-1;4;2;1;2;46;59;1;6;1;4;1;649000;0;0;1;1;1;3;2;11000;2
7191238-1;0;2;1;2;78;84;1;2;1;5;5;118333;0;0;0;0;1;3;1;29000;0
7191241-1;4;1;2;2;36;33;1;6;1;1;1;907500;0;0;1;1;1;2;1;83070;0
7191243-1;1;1;2;2;49;51;1;3;1;1;1;1350000;2;2;1;1;1;4;2;37000;3
7191245-1;0;2;1;2;44;54;1;2;1;4;1;60000;0;0;0;0;1;2;1;5500;0
7191248-1;0;1;2;2;42;50;1;2;1;1;4;270000;0;0;1;1;2;2;1;40000;2
7191249-1;3;1;2;2;52;48;1;5;2;1;4;132500;0;0;1;1;1;3;2;100000;0
7191251-1;2;1;2;2;53;44;1;4;1;1;1;183333;2;2;2;3;1;4;2;49000;3
7191255-1;2;1;2;2;39;27;1;4;1;2;4;630000;2;2;1;1;1;3;2;30000;2
7191269-1;4;1;2;6;34;32;1;6;0;1;4;755000;2;2;1;1;1;2;2;53481;2
7191270-1;1;1;2;2;54;53;1;9;1;1;4;640000;0;0;1;0;1;2;1;36521;0
7191271-1;6;1;2;6;34;37;1;8;1;1;4;530000;2;0;1;1;2;2;2;83913;0
7191272-1;4;1;2;2;33;35;1;6;0;1;4;700000;0;0;1;1;1;2;2;65559;2
7191274-1;1;1;2;2;35;22;1;3;1;1;4;1035000;0;0;1;1;1;2;1;53620;0
7191276-1;2;1;2;2;27;20;1;4;1;1;4;755000;0;0;1;1;2;2;1;77832;0
7191277-1;1;1;2;2;23;24;1;3;0;1;4;450000;0;0;1;1;2;3;1;40499;0
7191279-1;3;1;2;2;52;54;1;5;0;1;4;278333;0;0;1;1;1;3;2;49677;2
7191283-1;3;1;2;2;57;53;1;5;1;5;4;616666;0;0;1;1;2;4;1;44047;0
7191288-1;1;1;2;2;28;25;1;3;1;1;1;1700000;2;2;3;3;1;2;1;35000;3
7191291-1;1;1;2;2;56;52;1;5;1;1;4;835000;0;0;1;1;1;3;2;80000;0
7191292-1;1;2;1;2;29;32;1;3;1;4;1;1246666;0;0;1;1;1;2;1;15473;0
7191294-1;1;1;2;6;60;57;1;7;1;5;4;740000;2;2;1;1;2;4;3;70000;0
7191298-1;0;1;2;2;53;52;1;2;1;1;4;350000;0;2;1;1;1;3;1;64168;0
7191303-1;1;1;2;6;45;40;5;4;6;1;1;24614166;2;2;3;3;1;4;3;250000;2
7191308-1;1;1;2;6;67;50;5;3;4;1;1;12958333;2;2;1;3;1;6;2;130000;1
7191309-1;2;1;2;6;50;49;5;4;3;2;1;11862116;2;2;3;3;1;4;3;92000;2
7191310-1;0;1;2;6;62;66;5;2;3;6;4;2800000;2;2;2;1;1;4;1;65000;2
7191313-1;1;1;2;2;47;44;5;3;2;1;4;3303116;0;0;1;1;1;3;2;30000;1
7191314-1;2;1;2;6;47;44;5;4;3;1;1;3667000;2;2;3;3;1;3;2;52000;1
7191316-1;1;1;2;6;75;72;5;4;4;4;4;6491000;0;2;3;3;1;4;3;178000;1
7191318-1;2;1;2;6;68;67;5;4;3;1;4;1286422;0;0;1;1;1;4;3;25000;2
7191319-1;2;1;2;6;54;47;5;4;3;1;6;3338019;2;2;3;3;1;4;3;120000;2
7191321-1;1;1;2;6;69;65;5;4;3;6;4;1200000;2;2;3;3;1;6;3;83000;3
7191323-1;1;1;2;1;38;30;5;4;3;1;1;4266666;2;2;3;3;1;3;2;50000;2
7191326-1;1;1;2;6;39;38;5;3;3;1;1;15675000;2;2;3;3;1;5;2;46000;2
7191331-1;2;2;1;6;43;42;5;6;2;4;1;3000000;2;2;2;2;1;4;3;18000;2
7191333-1;1;2;1;2;67;76;5;5;2;4;4;120000;0;0;1;1;1;7;4;22000;1
7191336-1;1;2;1;6;41;56;5;3;3;1;1;4780000;2;2;3;3;1;4;2;150000;2
7191339-1;2;2;1;2;43;38;5;4;3;1;1;2616000;2;2;3;1;1;2;2;152000;2
7191340-1;2;1;2;6;80;70;5;4;3;4;4;4302500;0;0;1;1;1;3;3;150000;2
7191341-1;2;1;2;6;52;34;5;4;2;1;4;200000;2;2;1;2;2;2;1;35000;0
7191342-1;2;1;2;2;24;22;5;4;2;1;2;1050000;2;0;3;1;1;1;1;25000;0
7191345-1;2;2;1;6;42;42;5;4;4;1;1;9212500;2;2;3;3;1;6;3;42000;2
7191347-1;1;1;2;6;34;34;5;3;4;1;1;6803750;2;2;3;3;1;4;2;42000;2
7191352-1;2;1;2;6;48;51;5;4;6;1;5;7150000;2;2;2;3;1;7;3;109490;2
7191353-1;2;1;2;6;46;45;5;5;6;1;1;34283333;2;2;3;3;1;7;4;180000;2
7191357-1;1;1;2;6;63;55;5;3;6;1;4;6000000;2;2;3;3;1;5;3;180000;2
7191360-1;3;1;2;6;39;36;5;5;1;1;4;2000000;2;2;3;3;1;3;2;50000;2
7191361-1;1;1;2;2;52;46;5;3;2;1;4;1900000;2;2;1;2;1;4;2;35000;2
7191362-1;3;2;1;2;29;28;5;4;3;1;1;1820000;2;2;3;1;1;3;2;36701;0
7191363-1;3;1;2;2;45;45;5;5;3;1;1;3960000;2;2;1;1;2;4;3;60000;1
7191368-1;1;2;1;2;25;26;5;2;3;1;1;3702397;2;2;3;3;1;4;1;35000;1
7191370-1;2;1;2;6;29;31;5;4;2;1;4;1570000;2;2;1;1;1;3;2;54000;1
7191373-1;2;1;2;6;48;47;5;4;6;1;1;31416666;2;2;3;3;1;4;3;200000;2
7191374-1;1;1;2;6;31;31;5;3;3;1;1;10941666;2;2;3;3;1;3;2;40000;2
7191378-1;1;1;2;6;36;35;5;3;3;1;1;4640833;2;2;3;3;1;4;2;35000;2
7191380-1;1;1;2;6;27;30;5;3;3;1;4;855000;2;2;1;3;1;3;1;20000;1
7191382-1;1;1;2;6;69;69;5;3;3;1;4;600000;2;0;3;1;1;6;4;16000;2
7191385-1;0;1;2;2;32;46;5;2;3;1;1;1849900;2;0;3;2;1;5;2;225000;0
7191386-1;2;1;2;1;33;23;5;4;3;1;4;1778000;2;2;1;1;1;3;2;82000;1
7191389-1;2;1;2;6;51;44;5;4;5;1;4;5025000;2;2;3;3;1;4;3;80000;2
7191390-1;0;1;2;6;85;79;5;2;4;4;4;1500000;0;0;3;1;1;3;1;82000;1
7191396-1;2;1;2;6;45;53;5;4;3;1;4;1071250;2;2;3;3;1;3;3;50000;2
7191397-1;3;1;2;6;45;43;5;5;3;1;1;6333333;2;2;3;3;1;4;3;50000;2
7191398-1;1;1;2;6;45;33;5;3;4;6;1;5288333;2;2;3;3;1;4;3;80000;2
7191400-1;1;1;2;6;54;53;5;3;5;1;1;7850000;2;2;3;3;1;3;2;120000;1
7191405-1;2;1;2;2;54;41;5;4;5;1;4;13883333;2;2;3;3;1;5;3;200000;3
7191406-1;0;1;2;6;60;59;5;2;3;1;4;2400000;2;2;1;1;1;4;1;116000;2
7191408-1;2;1;2;2;33;32;5;4;3;1;4;903000;2;2;1;1;1;3;2;47000;2
7191409-1;0;1;2;6;78;72;5;2;5;6;6;4100000;2;2;1;1;1;3;1;75000;1
7191412-1;1;1;2;6;38;46;5;3;6;1;1;14708333;2;2;3;3;1;4;3;250000;2
7191413-1;1;1;2;2;39;32;5;3;3;1;1;5214333;2;2;3;3;1;5;2;34000;1
7191414-1;1;1;2;2;47;36;5;3;3;1;1;19741666;2;2;3;1;1;3;2;110000;2
7191417-1;2;1;2;2;46;42;5;4;2;1;1;2575000;2;2;1;1;1;4;3;50000;2
7191419-1;3;1;2;2;40;30;5;5;2;1;3;1816666;2;2;3;3;1;3;2;50000;2
7191420-1;0;1;2;2;23;20;5;2;2;1;1;1180000;2;2;1;1;1;2;1;36000;2
7191421-1;0;1;2;1;30;23;5;3;2;1;4;2478116;2;2;3;3;1;3;2;29800;2
7191429-1;0;2;1;1;28;27;5;2;4;1;1;12733333;2;2;3;3;1;3;1;40000;1
7191430-1;0;1;2;6;41;43;5;2;6;1;1;7058333;2;2;3;3;1;5;1;53000;2
7191431-1;2;1;2;6;63;55;5;4;6;1;4;6500000;2;2;3;3;1;7;3;145000;2
7191433-1;0;2;1;2;63;66;5;2;4;1;1;5383333;2;2;3;3;1;3;1;54000;1
7191434-1;2;1;2;6;60;48;5;4;6;1;1;3000000;2;2;3;3;1;4;3;150000;2
7191435-1;1;1;2;6;87;81;5;5;6;4;4;15826300;2;0;3;1;1;6;3;34716;3
7191436-1;2;1;2;2;42;42;5;4;6;1;1;9203333;2;2;3;3;1;4;3;116000;2
7191442-1;0;2;1;6;32;32;5;2;6;1;1;25500000;2;2;3;3;1;3;2;70000;2
7191443-1;2;1;2;6;36;35;5;4;6;2;1;39000000;2;2;3;3;1;5;1;120000;2
7191445-1;2;1;2;6;42;43;5;4;2;1;1;3840000;2;2;1;3;1;3;2;17000;2
7191446-1;0;1;2;6;63;65;5;2;6;1;1;0;2;2;3;3;1;4;1;380000;1
7191450-1;3;1;2;2;41;31;5;5;5;1;4;5000000;2;2;1;1;1;4;2;150000;3
7191454-1;2;1;2;6;60;46;5;4;4;1;1;16000000;2;2;1;3;1;5;3;140000;2
7191456-1;0;1;2;6;35;36;5;4;4;1;1;6000000;2;2;3;3;1;4;3;58700;2
7191457-1;0;1;2;6;37;33;5;2;4;1;1;9608333;2;2;3;3;1;4;1;100000;2
7191458-1;0;2;1;1;37;37;5;2;4;1;1;11000000;2;2;3;3;1;2;1;180000;2
7191460-1;1;1;2;6;67;60;5;3;4;1;6;7420000;2;2;3;3;1;3;2;60000;1
7191465-1;3;1;2;2;42;31;2;5;0;1;4;5200000;2;0;1;1;1;3;2;83761;2
7191468-1;1;1;2;6;63;57;2;4;2;1;1;2271666;0;0;1;1;1;4;3;65000;1
7191469-1;1;1;2;2;31;28;2;3;2;1;4;1200000;2;2;1;1;1;2;1;55000;0
7191471-1;1;1;2;2;33;35;2;4;2;1;4;850000;2;2;1;1;1;5;3;32000;0
7191474-1;0;1;2;6;79;74;2;2;1;4;4;2008333;0;0;1;1;1;3;2;20000;1
7191475-1;3;1;2;2;52;33;2;5;1;1;4;904166;0;0;1;1;1;2;1;20000;0
7191476-1;1;1;2;2;65;59;2;4;1;4;4;355000;0;0;1;1;1;3;2;5000;0
7191477-1;1;1;2;6;49;47;2;3;1;1;4;1500000;0;0;1;1;1;3;2;30000;0
7191478-1;0;1;2;6;77;73;2;2;1;5;4;230000;0;0;1;1;1;2;1;16000;0
7191479-1;2;1;2;2;56;56;2;4;1;1;4;661666;0;0;1;1;1;3;3;20000;0
7191480-1;0;1;2;6;73;72;2;2;1;5;4;3500000;0;0;1;1;1;3;2;25000;0
7191482-1;3;1;2;2;59;51;2;9;1;1;4;2430000;0;0;1;1;1;4;4;50000;0
7191483-1;2;1;2;2;26;26;2;4;1;1;4;327000;0;0;1;1;1;3;2;27000;0
7191484-1;1;1;2;2;77;54;2;3;1;1;4;1200000;0;0;0;1;1;3;3;6000;0
7191485-1;2;1;2;2;52;40;2;6;0;1;4;3471447;0;0;1;1;1;4;3;17500;0
7191486-1;5;1;2;2;35;30;2;7;1;1;4;1190000;0;0;1;1;1;2;2;10000;0
7191489-1;2;1;2;6;43;42;2;6;1;1;4;1400000;2;0;1;1;1;4;3;35000;0
7191491-1;2;2;1;2;33;38;2;4;1;4;5;175000;0;0;1;1;1;3;3;10000;0
7191492-1;2;1;2;2;49;49;2;4;1;1;4;480000;0;0;1;1;1;3;2;15000;0
7191493-1;1;1;2;6;77;61;2;6;0;4;4;2145000;0;0;0;1;1;3;3;15000;0
7191494-1;1;1;2;2;49;44;2;3;1;1;4;1600000;0;0;1;1;1;3;2;20000;0
7191495-1;1;1;2;2;48;48;2;3;1;1;4;655000;0;0;1;1;1;4;3;18000;2
7191496-1;1;1;2;2;44;50;2;3;1;1;4;675000;0;0;1;1;2;3;2;50000;0
7191497-1;1;1;2;2;20;19;2;3;1;1;4;472500;0;0;1;3;1;3;2;57555;0
7191499-1;2;1;2;2;65;57;2;4;1;1;4;1133333;0;0;1;1;1;2;2;15000;0
7191501-1;2;1;2;2;61;57;2;4;1;1;4;2200000;0;0;1;1;1;3;3;5000;0
7191504-1;2;1;2;2;44;33;2;4;1;1;4;1125000;0;0;1;1;1;3;2;10000;0
7191505-1;2;1;2;2;40;39;2;6;0;4;4;1813333;2;0;1;1;2;6;4;20000;2
7191508-1;0;1;2;2;45;50;2;2;1;2;2;20005;0;0;1;1;1;1;1;11000;0
7191510-1;1;1;2;6;43;50;2;3;0;1;4;635000;0;0;1;1;1;3;1;18000;0
7191514-1;1;1;2;2;39;33;2;3;2;1;4;685000;0;0;1;1;1;3;2;6000;0
7191516-1;1;1;2;2;32;33;2;5;1;1;1;2309666;0;2;1;1;1;4;4;24000;2
7191518-1;1;1;2;2;30;21;2;4;1;1;4;580000;0;0;1;1;1;3;3;17000;2
7191524-1;0;1;2;6;67;59;2;2;1;1;4;270000;0;0;1;1;1;2;1;12000;0
7191525-1;0;1;2;6;59;53;2;2;1;1;4;341666;0;0;1;1;1;2;1;7000;0
7191526-1;0;2;1;2;53;38;2;2;2;1;1;550000;0;0;1;1;1;3;1;13000;0
7191529-1;2;2;1;2;33;35;2;4;1;4;1;780000;0;0;1;1;1;4;4;15000;0
7191531-1;0;1;2;2;53;44;2;2;1;1;1;516666;0;0;1;1;1;3;1;16800;0
7191533-1;3;1;2;2;56;37;2;5;1;1;4;850000;0;0;1;1;1;4;3;23000;2
7191536-1;2;1;2;2;42;41;2;4;1;2;1;390000;0;0;1;1;2;2;2;18000;1
7191537-1;3;1;2;2;40;34;2;5;1;1;4;2250000;0;0;1;1;1;4;4;15000;0
7191538-1;0;1;2;6;59;59;2;2;1;1;4;430000;0;0;1;1;1;2;1;17000;0
7191539-1;5;1;2;2;34;35;2;7;1;1;1;2580000;2;2;1;1;1;3;2;20000;0
7191540-1;2;1;2;2;38;25;2;4;1;1;4;850000;0;0;1;1;1;3;3;10000;0
7191541-1;1;1;2;2;57;42;2;3;1;1;1;2617000;0;2;1;1;1;2;2;20000;0
7191543-1;1;1;2;2;58;51;2;3;1;1;4;1000000;0;0;1;1;1;4;2;15000;0
7191544-1;0;1;2;6;75;62;2;2;1;1;4;100000;0;0;1;1;1;2;1;18000;1
7191545-1;0;1;2;6;77;68;2;2;1;5;4;210000;0;0;1;1;1;2;1;17000;0
7191546-1;0;1;2;2;60;61;2;2;1;5;4;279166;0;0;1;0;1;1;1;6000;0
7191549-1;1;1;2;6;57;53;2;3;1;1;4;200000;0;0;1;1;1;3;2;25000;0
7191550-1;1;1;2;2;40;35;2;3;1;1;4;655000;0;0;1;1;1;3;2;10000;0
7191551-1;2;1;2;2;27;26;2;4;0;1;4;1105000;0;0;1;1;1;2;2;27000;2
7191553-1;2;1;2;2;62;55;2;4;0;1;4;1900000;0;0;1;1;2;3;3;101010;2
7191554-1;0;2;1;2;52;48;2;3;1;4;1;575000;0;0;1;1;2;3;2;28000;0
7191559-1;0;1;2;2;72;63;2;2;1;1;4;411666;0;0;1;1;1;3;1;10000;0
7191560-1;0;2;1;6;45;65;2;2;1;1;4;320000;0;0;1;1;1;3;2;17000;0
7191562-1;1;1;2;2;49;36;2;3;1;1;4;1425000;0;0;1;1;1;5;2;15000;0
7191563-1;0;1;2;6;77;73;2;2;1;1;4;340000;0;0;1;1;1;2;1;15000;0
7191564-1;2;1;2;2;32;28;2;4;1;1;4;1150000;0;0;1;1;1;3;2;30000;0
7191567-1;3;1;2;6;44;40;2;5;1;1;4;1270000;2;0;1;1;1;4;3;5000;2
7191569-1;1;1;2;2;21;17;2;3;1;1;4;1043000;2;0;1;1;1;1;1;45000;2
7191570-1;0;1;2;2;49;48;2;2;1;1;4;1250000;2;0;1;1;1;3;2;10000;0
