Codigo;Hijos;Sexo Jefe;Sexo Conyuge;Tipo Union;Edad Jefe;Edad Conyuge;Region;Cantidad de personas;Estrato vivienda;Trabajo Jefe;Trabajo conyuge;Ingresos totales;Uso tecnologia Jefe;Uso tecnologia conyuge;Edu Jefe;Edu Conyuge;Afiliacion salud;N cuartos;N cuartos dormir;Valor Electricidad;N usos Lavadora
7228190-1;4;1;2;2;45;27;3;5;2;1;4;970000;2;2;1;1;1;2;2;26000;2
7228193-1;2;1;2;1;25;20;3;3;2;1;4;870000;2;2;1;1;1;3;1;15000;0
7228194-1;1;1;2;2;42;33;3;3;2;1;4;650000;0;2;1;1;1;3;2;20000;0
7228195-1;3;1;2;2;26;22;3;4;2;1;4;1020000;2;1;1;1;1;4;1;10000;0
7228197-1;4;1;2;6;44;33;3;5;2;1;4;880000;0;0;1;1;1;4;2;34000;0
7228198-1;0;1;2;6;65;61;3;2;0;1;4;1200000;0;2;1;1;1;4;2;65981;0
7228200-1;2;1;2;2;26;20;3;3;0;1;4;1020000;0;0;1;1;1;1;1;0;0
7228201-1;1;1;2;2;26;26;3;3;0;1;4;700000;2;2;1;1;1;2;2;29293;2
7228202-1;1;1;2;2;27;29;3;2;0;1;4;870000;0;2;1;1;1;3;1;74701;2
7228205-1;2;2;1;2;42;32;3;3;2;4;1;1510000;0;0;1;1;1;4;2;13800;3
7228208-1;3;1;2;2;37;31;3;4;2;1;4;1510000;2;2;1;0;1;3;2;20000;0
7228209-1;1;1;2;2;48;50;3;3;2;1;4;1730000;0;0;1;1;1;6;2;20000;2
7228210-1;2;1;2;2;44;43;3;3;2;1;4;1175000;0;0;1;1;1;3;2;25000;0
7228215-1;0;1;2;2;53;37;3;2;6;1;1;6000000;2;2;3;3;1;3;1;104000;2
7228217-1;1;1;2;6;40;36;3;3;2;1;4;1680000;2;0;1;1;1;4;2;32500;2
7228218-1;0;1;2;6;66;58;3;2;2;1;1;3012584;0;2;0;1;1;4;1;105000;1
7228219-1;1;1;2;6;63;61;3;3;2;4;4;500000;0;0;0;1;1;4;2;10500;0
7228220-1;1;2;1;2;55;60;3;4;3;1;2;1000000;2;2;1;2;1;7;4;65000;2
7228221-1;3;1;2;6;40;32;3;5;1;4;1;3826666;2;2;3;3;1;2;2;30000;2
7228224-1;1;1;2;2;31;30;3;3;2;1;1;1687500;2;2;2;3;1;3;2;29000;2
7228226-1;2;1;2;2;24;28;3;4;1;1;4;1176666;2;2;1;1;1;3;2;25000;2
7228227-1;2;2;1;2;28;34;3;4;1;1;1;1115000;2;2;1;0;1;3;2;30000;0
7228228-1;1;1;2;6;55;51;3;3;2;1;4;2460000;2;2;1;1;1;6;2;78705;1
7228230-1;2;1;2;2;24;42;3;4;1;1;4;1950000;2;2;1;1;1;3;2;25000;2
7228231-1;4;1;2;2;47;51;3;7;1;1;4;1063333;0;2;0;1;1;5;4;97000;2
7228232-1;3;1;2;2;57;50;3;9;2;1;1;3125000;2;0;1;1;1;4;3;58500;2
7228234-1;0;1;2;6;67;40;3;2;3;1;4;800000;0;0;1;1;1;2;1;36000;1
7228236-1;2;1;2;6;51;40;3;5;2;1;4;2400000;2;2;1;1;1;5;3;40000;3
7228237-1;0;1;2;6;59;68;3;2;2;1;6;5775000;2;2;3;3;1;4;1;39520;3
7228239-1;1;1;2;2;26;35;3;4;2;1;4;976666;0;0;1;1;1;1;1;35000;0
7228241-1;2;1;2;6;48;45;3;4;2;1;1;4422500;2;2;1;1;1;6;5;45000;2
7228243-1;1;2;1;1;19;40;3;3;2;4;1;1800000;2;2;1;1;1;3;2;66150;1
7228244-1;2;1;2;6;34;36;3;4;6;1;1;15000000;2;2;3;2;1;4;4;265000;3
7228245-1;2;1;2;6;40;36;3;4;2;1;4;3500000;2;2;1;1;1;5;3;56000;2
7228248-1;2;2;1;6;29;31;3;4;2;6;6;7800000;2;2;3;1;1;5;2;35000;2
7228249-1;0;1;2;6;71;50;3;3;3;5;4;1483333;2;2;1;1;1;4;2;45000;1
7228265-1;2;2;1;2;39;35;3;4;3;1;1;2935148;2;2;1;3;1;4;2;60000;1
7228268-1;1;2;1;6;66;60;3;3;5;4;1;22766135;2;2;3;3;1;5;2;150000;1
7228272-1;2;1;2;6;32;37;3;5;2;1;1;2553116;2;2;1;1;1;5;4;25000;3
7228274-1;1;1;2;6;65;62;3;5;2;4;4;3001666;2;2;1;1;1;6;4;80000;2
7228275-1;1;1;2;2;30;27;3;3;2;1;1;1390648;0;2;1;1;1;3;2;42000;0
7228288-1;0;1;2;2;62;57;3;2;4;5;1;1800000;0;0;1;1;1;4;1;60000;1
7228292-1;1;1;2;2;26;22;3;3;2;1;4;1574500;2;2;1;1;1;2;1;45000;2
7228299-1;2;2;1;2;35;31;3;4;1;1;1;1955148;2;2;1;1;1;4;3;38000;2
7228300-1;2;1;2;2;43;44;3;4;1;1;1;2062616;0;2;1;0;1;4;4;35000;0
7228309-1;1;2;1;6;54;57;3;3;3;1;1;3660292;2;0;1;1;1;5;2;80000;2
7228311-1;2;2;1;6;51;52;3;5;3;1;1;5418967;2;0;3;1;1;5;3;70000;2
7228312-1;1;1;2;6;58;58;3;4;6;1;4;4800000;2;2;3;3;1;5;3;150000;2
7228320-1;0;2;1;6;50;53;3;2;5;4;1;2150000;2;2;2;1;1;4;2;200000;2
7228322-1;2;1;2;2;30;27;3;4;2;1;1;2176315;2;2;1;1;1;3;2;28000;2
7228343-1;0;1;2;6;58;58;3;2;3;1;4;1030116;2;2;1;1;1;2;2;28000;1
7228344-1;0;1;2;2;34;34;3;2;3;1;1;1725116;2;2;1;1;1;2;2;41000;1
7228353-1;0;1;2;6;29;24;3;2;6;1;1;13187500;2;2;1;3;1;4;1;130000;2
7228354-1;1;1;2;2;68;71;3;3;5;6;4;8583333;2;2;3;1;1;4;3;190000;1
7228356-1;1;1;2;2;62;50;3;3;1;1;1;3750161;2;2;1;1;1;3;2;60000;2
7228370-1;0;1;2;2;29;38;3;2;2;1;1;1429166;2;2;1;1;1;3;1;60000;1
7228372-1;0;1;2;2;25;21;3;4;3;1;4;1845148;2;2;3;1;2;4;3;60000;0
7228412-1;1;1;2;2;56;51;3;3;2;1;1;1737500;0;2;1;1;1;4;2;30000;2
7228413-1;0;1;2;6;73;63;3;2;2;5;4;935000;0;0;1;0;1;2;1;42000;0
7228414-1;0;1;2;2;67;62;3;2;2;1;4;428333;0;0;1;1;1;3;1;30000;0
7228431-1;2;2;1;6;47;55;6;4;4;1;1;8550000;2;2;1;1;1;5;3;156000;3
7228434-1;1;1;2;6;44;49;6;3;4;1;1;5966666;2;2;3;3;1;6;2;90000;2
7228436-1;2;1;2;6;61;57;6;4;4;1;1;7567000;2;0;1;1;1;3;2;140000;1
7228437-1;2;1;2;6;38;38;6;4;4;1;4;1600000;2;2;1;3;1;4;3;62000;3
7228439-1;0;2;2;2;19;21;6;2;2;1;4;850000;2;2;3;3;2;2;1;20000;2
7228457-1;0;1;2;6;55;54;6;2;2;1;4;1300000;2;0;1;1;1;6;1;46521;2
7228459-1;1;1;2;2;35;34;6;3;3;1;1;1860000;2;2;3;3;1;4;2;75000;1
7228522-1;2;1;2;2;66;47;6;4;2;4;1;840000;2;2;1;1;2;3;2;52000;0
7228528-1;0;1;2;2;30;24;6;2;2;1;4;1422032;2;2;1;3;1;4;3;35000;2
7228533-1;1;1;2;2;24;21;6;3;2;1;4;1028116;2;2;1;1;2;1;1;10000;0
7228535-1;1;1;2;2;43;25;6;3;2;1;4;1500000;1;2;1;1;1;4;2;53000;3
7228538-1;1;1;2;2;44;42;6;3;3;1;4;1733116;2;2;1;1;1;3;2;90000;2
7228554-1;0;1;2;2;59;50;6;2;1;1;4;1085833;0;0;0;0;1;4;3;18147;0
7228556-1;2;1;2;2;30;20;6;3;1;1;4;1048333;0;0;1;1;1;3;1;12000;0
7228558-1;0;1;2;2;47;48;6;2;1;1;4;2180000;2;2;1;1;1;4;3;23333;0
7228559-1;1;1;2;6;82;70;6;3;1;5;4;520000;0;0;0;0;1;3;3;18666;0
7228560-1;0;1;2;2;71;60;6;2;1;1;4;2519166;0;0;1;0;1;4;1;36000;0
7228561-1;1;1;2;6;50;49;6;3;1;1;1;24050000;0;1;1;1;1;6;3;21666;3
7228565-1;4;1;2;2;34;29;6;6;1;1;4;1611500;0;0;1;1;1;4;4;30000;2
7228566-1;1;2;1;2;31;32;6;4;1;1;1;1128333;2;2;1;0;1;3;2;66666;1
7228568-1;2;1;2;2;43;19;6;5;1;1;4;2300000;2;2;1;1;1;3;2;40000;0
7228571-1;3;1;2;2;40;38;6;5;1;1;1;2365000;2;2;1;1;1;3;2;73950;2
7228573-1;0;1;2;6;70;64;6;2;1;1;4;266666;0;0;1;1;1;3;2;60000;0
7228577-1;1;1;2;6;59;46;6;5;1;6;4;1175000;0;0;1;1;1;3;2;40920;0
7228607-1;2;1;2;6;42;41;6;3;3;1;1;4189750;2;2;3;3;1;4;2;80000;2
7228608-1;0;1;2;6;53;50;6;2;2;1;4;1820083;0;0;1;1;1;4;1;55000;0
7228609-1;0;1;2;6;62;67;6;2;3;6;4;1428000;0;0;1;1;1;4;1;80000;1
7228610-1;1;1;2;6;40;34;6;3;3;1;1;2685666;2;0;1;1;1;4;2;67000;1
