DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P10000;P400;P401;P402;P403;P404;P406S2;P407S2;P408;P4900;P807;P809;P809S1;P420;P171;P6850;P5971;P5971S1;P5971S1A1;P5971S2;P5971S2A1;P5971S3;P5971S3A1;P5971S4;P5971S4A1;P5971S5;P5971S5A1;P5971S6;P5971S6A1;P5971S7;P5971S7A1;P5971S8;P5971S8A1;P5971S9;P5971S9A1;P5971S10;P5971S10A1;FEX_C
7121721;4;1;4;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;36,1952710414563
7121722;3;1;3;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;30,7567350539868
7121723;3;1;3;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;37,3835627290545
7121723;4;1;4;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;37,3835627290545
7121726;2;1;2;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;41,8050569442147
7121733;3;1;3;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;2;1;3;1;1;1;5;2; ;2; ;2; ;2; ;2; ;2; ;117,985841693517
7121733;4;1;4;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;2;1;1;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;117,985841693517
7121738;3;1;3;2;4;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;105,23936790023
7121738;4;1;4;2;6;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;105,23936790023
7121738;6;1;6;2;4;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;105,23936790023
7121739;5;1;5;5;4;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;247,777246117518
7121744;4;1;4;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;276,283700601513
7121750;3;1;3;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;108,501491550134
7121752;6;1;6;5;4;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;70,9613318537942
7121752;7;1;7;5;4;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;70,9613318537942
7121756;3;1;3;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;68,7527851607643
7121756;4;1;4;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;68,7527851607643
7121767;2;1;2;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;67,2789116581339
7121805;4;1;4;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;37,799278363251
7121806;3;1;3;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;50,0763018819042
7121808;3;1;3;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;47,4630901822227
7121811;3;1;3;3;4;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;16;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;53,9784302267663
7121816;2;1;2;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;45,6073251651962
7121816;3;1;3;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;1;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;45,6073251651962
7121825;2;1;2;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;26,8549352688844
7121825;3;1;3;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;26,8549352688844
7121827;3;1;3;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;24,1721151951083
7121829;4;1;4;4;6;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;39,125926261684
7121830;4;1;4;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;6;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;32,1829707587135
7121831;2;1;2;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;28,1815831673174
7121833;2;1;2;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;24,0829009251606
7121839;3;1;3;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;70,2882246787746
7121841;4;1;4;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;2;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;67,4598773709413
7121845;3;1;3;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;83,3073383448296
7121854;3;1;3;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;90,212211755127
7121854;5;1;5;5;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;90,212211755127
7121854;6;1;6;6;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;90,212211755127
7121855;3;1;3;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;90,2030787609866
7121855;4;1;4;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;90,2030787609866
7121856;5;1;5;5;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;123,812967019518
7121857;3;1;3;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;104,610069589432
7121862;5;1;5;5;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;55,0069617957132
7121864;4;1;4;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;109,719955484347
7121867;3;1;3;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;92,3180109330459
7121867;4;1;4;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;92,3180109330459
7121868;4;1;4;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;109,719955484347
7121869;3;1;3;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;88,264746216083
7121877;3;1;3;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;37,3201312646348
7121878;2;1;2;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;4;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;40,4674574655237
7121880;2;1;2;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;33,0493106556561
7121880;4;1;4;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;33,0493106556561
7121880;5;1;5;5;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;33,0493106556561
7121889;5;1;5;5;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;78,6853704055833
7121890;3;1;3;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;65,3784858211939
7121892;5;1;5;5;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;47,3213825039267
7121893;3;1;3;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;38,5109313818608
7121894;4;1;4;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;44,6923615053841
