DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P784S1A3;FEX_C
7122538;1;1;1;3;9,24255846101368
7122538;2;1;2;4;9,24255846101368
7122560;1;1;1;3;3,72759001962619
7122569;1;1;1;3;6,3154862993709
7122569;2;1;2;4;6,3154862993709
7122577;1;1;1;3;1,28926844811952
7122593;1;1;1;2;4,35101376291676
7122593;2;1;2;3;4,35101376291676
7122600;1;1;1;6;4,10006744198945
7122600;2;1;2;8;4,10006744198945
7122619;1;1;1;5;2,89441619264648
7122623;1;1;1;2;1,52110315455519
7122624;1;1;1;1;3,54960156509103
7122636;1;1;1;5;1,38844294412871
7122652;1;1;1;3;4,81183916153273
7122673;1;1;1;3;11,2385842369942
7122673;2;1;2;4;11,2385842369942
7122677;1;1;1;2;6,8781892947852
7122689;1;1;1;3;19,8663486581587
7122689;2;1;2;4;19,8663486581587
7122691;1;1;1;4;21,106603180589
7122691;2;1;2;5;21,106603180589
7122692;1;1;1;3;16,5137499788198
7122696;1;1;1;3;16,0941761666798
7122698;1;1;1;2;14,3185234897706
7122699;1;1;1;3;14,581690254035
7122704;1;1;1;2;15,603210120888
7122713;1;1;1;5;11,3870559540985
7122713;2;1;2;6;11,3870559540985
7122720;1;1;1;3;6,77895080873714
7122720;2;1;2;4;6,77895080873714
7122720;3;1;3;5;6,77895080873714
7122734;1;1;1;3;12,9918671180918
7122737;1;1;1;2;4,58793816787596
7122749;1;1;1;2;7,43596246574406
7122749;2;1;2;3;7,43596246574406
7122751;1;1;1;3;3,44082360277447
7122754;1;1;1;3;7,97286594817789
7122754;2;1;2;4;7,97286594817789
7122754;3;1;3;5;7,97286594817789
7122759;1;1;1;3;23,0536210300493
7122767;1;1;1;3;7,27491590207242
7122778;1;1;1;3;16,1957797504793
7122789;1;1;1;3;4,30091629425186
7122789;2;1;2;4;4,30091629425186
7122812;1;1;1;3;17,2036651770075
7122858;1;1;1;4;247,929566256908
7122868;1;1;1;4;419,633232282989
7122870;1;1;1;3;370,784742855765
7122870;2;1;2;4;370,784742855765
7122870;3;1;3;5;370,784742855765
7122881;1;1;1;3;45,9496607550142
7122881;2;1;2;4;45,9496607550142
7122890;1;1;1;2;92,7326498769958
7122890;2;1;2;3;92,7326498769958
7122892;1;1;1;4;48,0973733528263
7122895;1;1;1;3;99,3475975407889
7122895;2;1;2;4;99,3475975407889
7122901;1;1;1;3;100,407843298605
7122901;2;1;2;4;100,407843298605
7122901;3;1;3;5;100,407843298605
7122937;1;1;1;4;115,033311396777
7122937;2;1;2;5;115,033311396777
7122940;1;1;1;1;149,391653655025
7122946;1;1;1;2;174,974643402004
7122946;2;1;2;4;174,974643402004
7122947;1;1;1;3;163,207462580045
