DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P8692S3A1;FEX_C
7124871;2;1;2;2;63,1092609038834
7124904;1;1;1;2;83,0555343893381
7124904;2;1;2;1;83,0555343893381
7124907;1;1;1;1;68,2596839570718
7124907;2;1;2;2;68,2596839570718
7124918;1;1;1;1;106,06521694159
7124918;2;1;2;2;106,06521694159
7124925;1;1;1;1;156,775855613526
7124925;2;1;2;2;156,775855613526
7124934;1;1;1;2;186,488648176375
7124934;2;1;2;5;186,488648176375
7124941;1;1;1;1;156,775855613526
7124941;2;1;2;2;156,775855613526
7124981;1;1;1;1;182,661074539297
7124981;2;1;2;2;182,661074539297
7125017;1;1;1;1;56,3683046304079
7125017;2;1;2;2;56,3683046304079
7125017;3;1;3;3;56,3683046304079
7125041;1;1;1;1;143,966222959081
7125041;2;1;2;2;143,966222959081
7125042;1;1;1;1;134,582620023697
7125042;2;1;2;2;134,582620023697
7125069;1;1;1;1;109,734771538928
7125069;2;1;2;2;109,734771538928
7125086;1;1;1;1;141,920857323464
7125086;2;1;2;2;141,920857323464
7125087;1;1;1;1;163,535937722241
7125087;2;1;2;2;163,535937722241
7125089;1;1;1;1;182,431537160347
7125089;2;1;2;2;182,431537160347
7125092;2;1;2;2;139,487085815079
7125092;1;1;1;1;139,487085815079
7125104;1;1;1;1;91,8663335731607
7125104;2;1;2;2;91,8663335731607
7125105;1;1;1;1;138,168306237983
7125105;2;1;2;2;138,168306237983
7125135;1;1;1;1;164,147227881762
7125135;2;1;2;3;164,147227881762
7125183;1;1;1;1;176,81710629613
7125183;2;1;2;2;176,81710629613
7125193;1;1;1;1;15,0605414955701
7125193;2;1;2;2;15,0605414955701
7125207;1;1;1;1;18,5431853037496
7125207;2;1;2;2;18,5431853037496
7125217;1;1;1;1;279,736217402062
7125217;2;1;2;2;279,736217402062
7125231;1;1;1;1;174,729835167222
7125231;2;1;2;2;174,729835167222
7125250;1;1;1;1;135,274711097204
7125250;2;1;2;2;135,274711097204
7125301;1;1;1;1;102,20154928752
7125301;2;1;2;2;102,20154928752
7125307;1;1;1;1;107,181324952714
7125307;2;1;2;2;107,181324952714
7125324;1;1;1;1;130,83798118337
7125324;2;1;2;2;130,83798118337
7125380;1;1;1;1;251,012215142095
7125380;2;1;2;2;251,012215142095
7125385;1;1;1;1;426,084772275606
7125385;2;1;2;2;426,084772275606
7125385;3;1;3;3;426,084772275606
7125385;4;1;4;4;426,084772275606
7125397;1;1;1;1;774,906585882859
7125397;2;1;2;2;774,906585882859
7125402;1;1;1;1;770,214815206582
7125402;2;1;2;2;770,214815206582
7125406;1;1;1;1;608,621999005351
7125406;2;1;2;2;608,621999005351
7125411;1;1;1;1;517,864513576077
7125411;2;1;2;3;517,864513576077
7125420;1;1;1;1;549,010618702394
7125420;2;1;2;2;549,010618702394
7125422;1;1;1;1;531,037730282096
7125422;2;1;2;2;531,037730282096
